T,TM,Tm,H,PP,VV,V,VM,NH3
29.9,36.5,23.4,49.5,0,4.4,4.8,12.95,1.6
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,1.6
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,1.6
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,1.6
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,1.6
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,1.6
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,1.6
32.6,41,24.9,42.5,0,4.4,8.7,17.4,1.6
32.6,41,24.9,42.5,0,4.4,8.7,17.4,1.6
32.4,41,25.1,41,0,4.5,8.5,18.3,1.6
32.4,41,25.1,41,0,4.5,8.5,18.3,1.6
32.8,41,24.7,44,0,4.3,8.9,16.5,1.6
32.8,41,24.7,44,0,4.3,8.9,16.5,1.6
34,43,24.7,43,0,4.3,9.1,18.3,1.6
34,43,24.7,43,0,4.3,9.1,18.3,1.6
34.2,43.5,25.85,43,0,4.15,9.25,19.45,1.6
34.2,43.5,25.85,43,0,4.15,9.25,19.45,1.6
34.4,44,27,43,0,4,9.4,20.6,1.6
34.4,44,27,43,0,4,9.4,20.6,1.6
35.7,45,26.5,29,0,4.5,5.7,13,1.6
35.7,45,26.5,29,0,4.5,5.7,13,1.6
35.5,45,24.1,26,0,4.7,6.7,14.8,1.6
35.5,45,24.1,26,0,4.7,6.7,14.8,1.6
35.6,45,27,27,0,4.7,9.6,14.8,1.6
35.6,45,27,27,0,4.7,9.6,14.8,1.6
34.5,43,27,35,0,4.7,9.3,18.3,1.6
34.5,43,27,35,0,4.7,9.3,18.3,1.6
37.3,44,27.2,24,0,4.7,10.2,18.3,1.6
37.3,44,27.2,24,0,4.7,10.2,18.3,1.6
32.9,43,27.4,49,0,3.7,7.4,16.5,1.6
32.9,43,27.4,49,0,3.7,7.4,16.5,1.6
34.4,40,25.2,48,7.11,3.9,6.1,18.3,1.6
34.4,40,25.2,48,7.11,3.9,6.1,18.3,1.6
36.5,45,27,33,0,4.3,5.9,14.8,1.6
36.5,45,27,33,0,4.3,5.9,14.8,1.6
36.3,46,28.1,42,0,4.7,15,24.1,1.6
36.3,46,28.1,42,0,4.7,15,24.1,1.6
34.9,44,28.4,51,0,4.7,13.3,22.2,1.6
34.9,44,28.4,51,0,4.7,13.3,22.2,1.6
36.1,46,29,46,0,4.5,11.9,18.3,1.6
36.1,46,29,46,0,4.5,11.9,18.3,1.6
35.9,45,29,47,0,4.7,15,22.2,1.6
35.9,45,29,47,0,4.7,15,22.2,1.6
35.2,45,28.4,50,0,4.8,15.6,24.1,1.6
35.2,45,28.4,50,0,4.8,15.6,24.1,1.6
35.6,45,28.7,50,0,4.7,12.4,22.2,1.6
35.6,45,28.7,50,0,4.7,12.4,22.2,1.6
