T,TM,Tm,H,PP,VV,V,VM,CO
35.2,45,29.1,49,0,4.5,13,20.6,24.41
35.2,45,29.1,49,0,4.5,13,20.6,25.81
36.3,46,29.1,43,0,4.3,12.6,22.2,18.93
36.3,46,29.1,43,0,4.3,12.6,22.2,21.13
35.2,45,28.4,48,0,4.3,13.7,22.2,36.07
35.2,45,28.4,48,0,4.3,13.7,22.2,46.11
36.8,46,29.8,43,0,4.3,10.9,16.5,27.22
36.8,46,29.8,43,0,4.3,10.9,16.5,37.89
37.1,45,29.6,37,0,4.5,10.2,20.6,36
37.1,45,29.6,37,0,4.5,10.2,20.6,30.71
36.4,45,29,41,0,4.5,11.5,24.1,24.16
36.4,45,29,41,0,4.5,11.5,24.1,25.23
31.4,36,26.6,60,10.92,3.4,12.6,20.6,29.4
31.4,36,26.6,60,10.92,3.4,12.6,20.6,16.72
32.2,37,27.1,61,0,4,15,25.9,20.81
32.2,37,27.1,61,0,4,15,25.9,22.28
30.3,34.6,27,74,3.05,3.4,9.8,22.2,25.02
30.3,34.6,27,74,3.05,3.4,9.8,22.2,18.87
31.1,36,25.3,68,53.09,3.7,9.8,18.3,21.33
31.1,36,25.3,68,53.09,3.7,9.8,18.3,23.33
32.4,37,27.7,61,0,3.9,8.9,16.5,45.92
32.4,37,27.7,61,0,3.9,8.9,16.5,49.78
33.2,39,28,58,0,3.9,9.1,14.8,51.32
33.2,39,28,58,0,3.9,9.1,14.8,40.14
30.7,35,24.8,71,2.03,3.9,8.9,14.8,37.54
30.7,35,24.8,71,2.03,3.9,8.9,14.8,23.87
31.3,35,28,69,0,3.9,10.7,22.2,36.34
31.3,35,28,69,0,3.9,10.7,22.2,25.45
32.1,37,27.8,67,0,3.9,11.5,18.3,31.7
32.1,37,27.8,67,0,3.9,11.5,18.3,11.26
32.3,38,26,65,0,4,9.6,27.8,17.41
32.3,38,26,65,0,4,9.6,27.8,13.26
31.6,38,28,66,0,4.2,9.8,20.6,19.33
31.6,38,28,66,0,4.2,9.8,20.6,18.72
31.7,37,26.8,68,1.525,4,10.9,22.2,23.56
31.7,37,26.8,68,1.525,4,10.9,22.2,18.91
29.6,33.6,23.6,80,3.05,3.5,11.5,20.6,18.36
29.6,33.6,23.6,80,3.05,3.5,11.5,20.6,24.72
31.6,37,27,69,0,3.9,13.7,18.3,14.94
31.6,37,27,69,0,3.9,13.7,18.3,11.62
31.7,37,27.1,67,0,4,14.4,24.1,11.85
31.7,37,27.1,67,0,4,14.4,24.1,21.47
33,40,27.2,57,0,4.5,18,25.9,18.9
33,40,27.2,57,0,4.5,18,25.9,25.05
33.2,39,28.1,55,0,4.3,20.6,27.8,49.58
33.2,39,28.1,55,0,4.3,20.6,27.8,55.22
32.4,39,28.6,56,0,4,18.9,27.8,36.34
32.4,39,28.6,56,0,4,18.9,27.8,45.99
34,39,28.4,52,0,4.2,10,16.5,82.73
34,39,28.4,52,0,4.2,10,16.5,59.24
34.7,41,29.5,53,0,4.2,8.1,16.5,34.88
34.7,41,29.5,53,0,4.2,8.1,16.5,68.52
32.6,38,28,65,0,4.2,7.8,14.8,119.3
32.6,38,28,65,0,4.2,7.8,14.8,45.18
31.4,35,28,68,4.06,3.9,18.3,27.8,57.78
31.4,35,28,68,4.06,3.9,18.3,27.8,51.18
30.2,34,26.5,71,0.25,3.9,19.3,25.9,39.85
30.2,34,26.5,71,0.25,3.9,19.3,25.9,40.53
29.7,34,27,73,21.08,3.5,16.1,24.1,6.94
29.7,34,27,73,21.08,3.5,16.1,24.1,5.69
25.9,28.4,24.7,99,19.05,2.4,12.8,20.6,1.7
25.9,28.4,24.7,99,19.05,2.4,12.8,20.6,3.67
26.3,27.4,25,97,40.89,2.3,8.7,14.8,6.05
26.3,27.4,25,97,40.89,2.3,8.7,14.8,4.79
27.9,31.2,25.2,89,6.1,3.2,10,18.3,7.26
27.9,31.2,25.2,89,6.1,3.2,10,18.3,1.41
27.4,31,26,93,1.02,2.6,8.9,16.5,7.32
27.4,31,26,93,1.02,2.6,8.9,16.5,7.95
29.1,31,26.7,81,0.25,3.4,12,20.6,7.42
29.1,31,26.7,81,0.25,3.4,12,20.6,16.72
28.2,30.6,26,84,0,2.7,10.7,18.3,22.31
28.2,30.6,26,84,0,2.7,10.7,18.3,9.85
25.8,27.2,25,98,20.07,1.9,14.3,22.2,10.87
25.8,27.2,25,98,20.07,1.9,14.3,22.2,23.59
29.3,33,25.8,81,2.03,3.7,8.9,13,28.8
29.3,33,25.8,81,2.03,3.7,8.9,13,17.04
28.7,32,26.3,83,0,3.2,8.9,18.3,28.47
28.7,32,26.3,83,0,3.2,8.9,18.3,15.77
26.5,29,25,95,6.1,3.4,9.8,16.5,14.87
26.5,29,25,95,6.1,3.4,9.8,16.5,14.05
29.1,33,25.9,81,0.76,4.2,8.1,13,9.16
29.1,33,25.9,81,0.76,4.2,8.1,13,17.69
29.5,33,25.9,79,0.25,3.7,8.3,14.8,47.92
29.5,33,25.9,79,0.25,3.7,8.3,14.8,18.8
29.5,33,25.8,73,0,4.2,10.4,16.5,20.01
29.5,33,25.8,73,0,4.2,10.4,16.5,10.3
29.5,34,26.5,75,0.25,4.2,9.1,14.8,28.74
29.5,34,26.5,75,0.25,4.2,9.1,14.8,29.52
27.2,29,24,87,1.02,3.2,8.7,14.8,42.34
27.2,29,24,87,1.02,3.2,8.7,14.8,39.43
26.6,30.2,23.8,95,21.08,2.6,10,13,34.48
26.6,30.2,23.8,95,21.08,2.6,10,13,17.98
30,34,27,83,17.02,3.5,8.5,14.8,17.1
30,34,27,83,17.02,3.5,8.5,14.8,19.45
30,34,26.6,81,0.51,3.9,9.3,16.5,17.72
30,34,26.6,81,0.51,3.9,9.3,16.5,20.3
29.3,34,26.4,84,2.285,4,9.8,14.8,16.8
29.3,34,26.4,84,2.285,4,9.8,14.8,11.11
29.3,32,26.6,87,4.06,3.2,5.4,13,7.78
29.3,32,26.6,87,4.06,3.2,5.4,13,5.55
30,34,26.6,84,0,3.5,6.3,16.5,8.07
30,34,26.6,84,0,3.5,6.3,16.5,5.26
29.7,34,26.5,87,0.51,3.2,5,11.1,4.02
29.7,34,26.5,87,0.51,3.2,5,11.1,3.87
28.4,33,26,93,4.06,2.6,4.4,37,4.32
28.4,33,26,93,4.06,2.6,4.4,37,7.8
27.1,28.4,25.6,98,1.02,2.6,7.2,14.8,14.15
27.1,28.4,25.6,98,1.02,2.6,7.2,14.8,9.08
27.6,29,26.1,96,2.03,2.7,7.2,22.2,12.09
27.6,29,26.1,96,2.03,2.7,7.2,22.2,12.83
28.6,31,26,89,0.25,3.4,8,14.8,26.73
28.6,31,26,89,0.25,3.4,8,14.8,26.27
29.8,35,25,77,0.25,4,7.4,16.5,14.39
29.8,35,25,77,0.25,4,7.4,16.5,6.92
28.3,35,25,84,0.76,3.9,7.4,18.3,4.66
28.3,35,25,84,0.76,3.9,7.4,18.3,2.56
28.4,32.4,24.5,83,0,3.5,3.7,9.4,5.2
28.4,32.4,24.5,83,0,3.5,3.7,9.4,5.67
28.2,36,25,87,0,3.4,7.6,18.3,8.84
28.2,36,25,87,0,3.4,7.6,18.3,28.91
27.7,31,24,90,18.03,2.9,4.6,14.8,29.17
27.7,31,24,90,18.03,2.9,4.6,14.8,10.97
26.1,28,24,96,52.07,2.9,5.6,13,3.75
26.1,28,24,96,52.07,2.9,5.6,13,2.2
27.2,33,23,86,17.02,3.7,10,18.3,1.89
27.2,33,23,86,17.02,3.7,10,18.3,4.07
29.1,33,23,78,0,4.2,5.2,13,6.64
29.1,33,23,78,0,4.2,5.2,13,17.34
29.2,34,25.8,79,0,4.3,4.6,13,11.4
29.2,34,25.8,79,0,4.3,4.6,13,30.94
29.1,34,24,77,0,3.9,3.5,9.4,34.49
29.1,34,24,77,0,3.9,3.5,9.4,6.36
29.4,35,24,71,0,4.3,3.5,9.4,3.78
29.4,35,24,71,0,4.3,3.5,9.4,3.63
29.6,35,25,71,0,4,3.5,14.8,7.06
29.6,35,25,71,0,4,3.5,14.8,8.97
28.1,36,20.2,53,0,4.3,2.6,11.1,5.41
28.1,36,20.2,53,0,4.3,2.6,11.1,7.17
29.3,37,21.6,58,0,4.2,3.3,9.4,7.37
29.3,37,21.6,58,0,4.2,3.3,9.4,2.38
29.4,37,23,58,0,4.2,3.1,9.4,2.41
29.4,37,23,58,0,4.2,3.1,9.4,2.5
28.8,36,23.8,58,0,4,6.1,18.3,2.38
28.8,36,23.8,58,0,4,6.1,18.3,8.81
28.4,33,23,67,0,3.9,6.5,13,8.08
28.4,33,23,67,0,3.9,6.5,13,3.26
27.7,34,22.8,61,0,3.1,9.4,18.3,3.59
27.7,34,22.8,61,0,3.1,9.4,18.3,3.75
25.8,34,18,47,0,4,8.9,14.8,20.06
25.8,34,18,47,0,4,8.9,14.8,24.98
26.6,32,20,46,0,3.7,12,20.6,13.05
26.6,32,20,46,0,3.7,12,20.6,20.86
25.7,29,22,69,0,4,9.6,20.6,33
25.7,29,22,69,0,4,9.6,20.6,20.18
28.6,33,22,74,0,4.2,5,11.1,10.39
28.6,33,22,74,0,4.2,5,11.1,18.14
29.2,34,23.8,70,0,4,3.5,11.1,19.52
29.2,34,23.8,70,0,4,3.5,11.1,118
26.7,30,24.6,84,2.03,3.2,4.3,11.1,9.53
26.7,30,24.6,84,2.03,3.2,4.3,11.1,11.31
26.6,30,24,82,0.125,3.9,3.1,11.1,20.76
26.6,30,24,82,0.125,3.9,3.1,11.1,36.07
25.7,30,22,78,0.25,3.4,4.3,11.1,36.16
25.7,30,22,78,0.25,3.4,4.3,11.1,15.2
26.4,31.4,22,75,0,3.7,5.9,14.8,9.38
26.4,31.4,22,75,0,3.7,5.9,14.8,10.08
26.7,32,22,73,0,4,6.9,13,29.48
26.7,32,22,73,0,4,6.9,13,30.93
27.4,33,21.6,61,0,3.9,2.4,7.6,6.1
27.4,33,21.6,61,0,3.9,2.4,7.6,23.75
26.8,33,21,56,0,4,5.6,14.8,14.56
26.8,33,21,56,0,4,5.6,14.8,6.25
25.2,31,20,56,0,4.2,5.7,20.6,8.62
25.2,31,20,56,0,4.2,5.7,20.6,12.48
24.1,32,16.2,55,0,3.5,3.1,9.4,27.61
24.1,32,16.2,55,0,3.5,3.1,9.4,57.7
24.2,32,17.8,56,0,3.7,4.4,13,18.72
24.2,32,17.8,56,0,3.7,4.4,13,24.78
25.3,33,18,57,0,4.2,2.8,9.4,14.28
25.3,33,18,57,0,4.2,2.8,9.4,43.22
25,32,18.8,64,0,2.9,3.7,11.1,59.34
25,32,18.8,64,0,2.9,3.7,11.1,42.62
24.1,31,19,68,0,3.2,4.1,9.4,22.33
24.1,31,19,68,0,3.2,4.1,9.4,10.49
24.4,32,19,62,0,3.4,4.1,7.6,4.78
24.4,32,19,62,0,3.4,4.1,7.6,4.22
23.4,30.2,18,71,0,3.2,5.4,14.8,10.92
23.4,30.2,18,71,0,3.2,5.4,14.8,31.41
24.1,30,19,65,0,3.2,11.3,20.6,70.45
24.1,30,19,65,0,3.2,11.3,20.6,92.96
23.7,29,19,56,0,3.9,11.7,18.3,57.77
23.7,29,19,56,0,3.9,11.7,18.3,17.8
21.1,27.4,15,44,0,3.7,10,18.3,22.34
21.1,27.4,15,44,0,3.7,10,18.3,23.13
20.4,28,14,54,0,3.1,8.3,16.5,21.26
20.4,28,14,54,0,3.1,8.3,16.5,7.4
21.1,29,15,59,0,3.1,7,14.8,8.43
21.1,29,15,59,0,3.1,7,14.8,10.7
19.9,26,13,74,0,3.5,4.3,11.1,12.19
19.9,26,13,74,0,3.5,4.3,11.1,7.87
18.9,26,13,62,0,3.2,6.9,18.3,5.55
18.9,26,13,62,0,3.2,6.9,18.3,2.28
18.4,25.6,12,49,0,4.2,11.3,18.3,3.56
18.4,25.6,12,49,0,4.2,11.3,18.3,6.04
20.1,27.4,14,67,0,3.9,4.8,14.8,6.95
20.1,27.4,14,67,0,3.9,4.8,14.8,4
21.3,29,14.6,64,0,3.5,4.8,13,5.11
21.3,29,14.6,64,0,3.5,4.8,13,3.89
22.2,29,15.6,61,0,3.5,7.2,13,16.02
22.2,29,15.6,61,0,3.5,7.2,13,15.45
20.3,26.4,15,66,0,3.4,6.1,13,15.07
20.3,26.4,15,66,0,3.4,6.1,13,4.67
18,25.2,12,51,0,3.9,10.4,18.3,9.82
18,25.2,12,51,0,3.9,10.4,18.3,5.47
17,25,11,34,0,4.3,12.6,18.3,4.98
17,25,11,34,0,4.3,12.6,18.3,2.96
18,24.6,11,57,0,3.9,6.7,13,4.28
18,24.6,11,57,0,3.9,6.7,13,7.11
17.2,23.4,12.8,70,0,2.4,9.4,20.6,5.23
17.2,23.4,12.8,70,0,2.4,9.4,20.6,4.67
18.1,24.4,13,75,0,2.6,7,14.8,3.08
18.1,24.4,13,75,0,2.6,7,14.8,4.11
17.2,23.4,13,74,0,2.3,6.1,14.8,3.85
17.2,23.4,13,74,0,2.3,6.1,14.8,4.5
21.9,30.6,15,60,0,3.2,5.4,11.1,4.46
21.9,30.6,15,60,0,3.2,5.4,11.1,4.51
18.3,25.8,11,56,0,3.9,8.5,14.8,3.82
18.3,25.8,11,56,0,3.9,8.5,14.8,3.35
15.3,22.6,7,45,0,4.3,11.9,20.6,3.75
15.3,22.6,7,45,0,4.3,11.9,20.6,3.87
19.3,24.2,13,70,0,2.7,6.5,18.3,5.19
19.3,24.2,13,70,0,2.7,6.5,18.3,5.07
17.5,24.4,10,53,0,4.2,6.3,11.1,0.59
17.5,24.4,10,53,0,4.2,6.3,11.1,0.45
17.2,24.6,9,47,0,4,6.3,13,0.36
17.2,24.6,9,47,0,4,6.3,13,0.39
16.9,24.6,11,56,0,3.7,10,18.3,0.37
16.9,24.6,11,56,0,3.7,10,18.3,0.43
17.3,25,11.7,54,0,4,8.5,18.3,0.36
17.3,25,11.7,54,0,4,8.5,18.3,0.36
19.1,28,11,50,0,4.3,5.9,11.1,0.41
19.1,28,11,50,0,4.3,5.9,11.1,0.36
19.3,28,12.5,57,0,3.2,3.5,16.5,0.34
19.3,28,12.5,57,0,3.2,3.5,16.5,0.39
21,30,12.9,50,0,3.9,3.9,14.8,0.45
21,30,12.9,50,0,3.9,3.9,14.8,0.35
22.2,29.4,13.7,53,0,3.7,8,18.3,0.28
22.2,29.4,13.7,53,0,3.7,8,18.3,0.38
18.3,26,11,43,0,4.3,6.9,11.1,0.4
18.3,26,11,43,0,4.3,6.9,11.1,0.46
18.7,26.6,10,35,0,4.5,10.2,18.3,0.46
18.7,26.6,10,35,0,4.5,10.2,18.3,0.67
19.4,26.6,13,39,0,4.3,12.6,22.2,0.46
19.4,26.6,13,39,0,4.3,12.6,22.2,0.54
20,27.2,14,43,0,4.3,7.8,14.8,0.56
20,27.2,14,43,0,4.3,7.8,14.8,0.64
19.6,27.4,12,44,0,4.2,8.7,18.3,0.73
19.6,27.4,12,44,0,4.2,8.7,18.3,0.54
19.2,26,13,37,0,4.2,11.7,20.6,0.67
19.2,26,13,37,0,4.2,11.7,20.6,0.4
19,26,12,38,0,4.3,12,18.3,0.51
19,26,12,38,0,4.3,12,18.3,0.55
24.9,33,16,42,0,3.9,6.7,20.6,0.77
24.9,33,16,42,0,3.9,6.7,20.6,0.54
23.9,32,16,34,0,4.2,7,14.8,0.58
23.9,32,16,34,0,4.2,7,14.8,0.48
23,32,14.2,45,0,4,5.4,13,0.49
23,32,14.2,45,0,4,5.4,13,0.51
26.1,34.4,16,40,0,3.2,3.1,13,0.39
26.1,34.4,16,40,0,3.2,3.1,13,0.68
24.3,33,15.8,36,0,4,4.6,16.5,0.62
24.3,33,15.8,36,0,4,4.6,16.5,0.61
23.4,33,15,39,0,4,7.8,14.8,0.69
23.4,33,15,39,0,4,7.8,14.8,0.56
24.3,33,16.8,40,0,4.2,3.1,18.3,0.65
24.3,33,16.8,40,0,4.2,3.1,18.3,0.67
24.9,34,16,39,0,3.5,2.6,11.1,0.81
24.9,34,16,39,0,3.5,2.6,11.1,0.57
25.8,35,17,39,0,3.9,4.4,14.8,0.59
25.8,35,17,39,0,3.9,4.4,14.8,0.83
26.8,35,17.5,36,0,4,4.8,14.8,0.56
26.8,35,17.5,36,0,4,4.8,14.8,0.57
25.7,34,17,37,0,3.9,4.4,22.2,0.41
25.7,34,17,37,0,3.9,4.4,22.2,0.4
26.4,34,18,42,0,3.4,7.8,16.5,0.64
26.4,34,18,42,0,3.4,7.8,16.5,0.45
21.8,30,12.9,38,0,4.2,3.3,11.1,0.44
21.8,30,12.9,38,0,4.2,3.3,11.1,0.79
23.8,31,14.4,34,0,4.3,8.1,18.3,0.63
23.8,31,14.4,34,0,4.3,8.1,18.3,0.71
26.2,33,18.9,36,0,4.2,10.6,16.5,0.82
26.2,33,18.9,36,0,4.2,10.6,16.5,0.57
21.8,29,14.2,36,0,4,6.7,14.8,0.86
21.8,29,14.2,36,0,4,6.7,14.8,0.85
22.1,30.4,16,29,0,3.9,8,14.8,0.68
22.1,30.4,16,29,0,3.9,8,14.8,0.85
24.1,32,16,23,0,4.5,10.7,18.3,1.18
24.1,32,16,23,0,4.5,10.7,18.3,0.86
30.7,39,19.9,26,0,4,7.6,14.8,0.85
30.7,39,19.9,26,0,4,7.6,14.8,0.85
27.1,34,21.4,32,0,4.5,12,22.2,0.81
27.1,34,21.4,32,0,4.5,12,22.2,0.56
28.3,35,19.8,48,0,4.2,5.9,14.8,0.71
28.3,35,19.8,48,0,4.2,5.9,14.8,0.5
29.4,36,23,40,0,3.7,5.9,13,0.7
29.4,36,23,40,0,3.7,5.9,13,0.52
25.9,33.2,19,57,4.445,3.5,11.5,22.2,0.51
25.9,33.2,19,57,4.445,3.5,11.5,22.2,0.75
24.8,31,19.5,69,8.89,4.3,5.2,16.5,0.65
24.8,31,19.5,69,8.89,4.3,5.2,16.5,0.59
30.2,38,20.6,29,0,4.5,8.1,16.5,0.49
30.2,38,20.6,29,0,4.5,8.1,16.5,0.52
29.1,36,22.7,41,0,4,5.7,13,0.67
29.1,36,22.7,41,0,4,5.7,13,0.73
29.1,36,22.7,41,0,4,5.7,13,0.28
13.6,23.2,4.6,70,0,2.6,6.5,16.5,0.81
13.6,23.2,4.6,70,0,2.6,6.5,16.5,0.67
13.2,23.2,3.1,72,0,1.4,2.6,11.1,0.43
13.2,23.2,3.1,72,0,1.4,2.6,11.1,0.36
11.1,22.1,4.8,97,0,0.5,1.7,9.4,0.37
11.1,22.1,4.8,97,0,0.5,1.7,9.4,0.47
11.7,15.3,5.6,85,0,1.1,0.6,7.6,0.39
11.7,15.3,5.6,85,0,1.1,0.6,7.6,0.54
8.9,15.2,2.4,95,0,0.5,1.9,11.1,0.36
8.9,15.2,2.4,95,0,0.5,1.9,11.1,0.39
9.2,14.8,3,97,0,0.6,0.2,3.5,0.36
9.2,14.8,3,97,0,0.6,0.2,3.5,0.2
10.7,15.2,5,95,0,1,5,14.8,0
10.7,15.2,5,95,0,1,5,14.8,0
11.1,15.4,7,89,9.91,1.9,7.2,14.8,0
11.1,15.4,7,89,9.91,1.9,7.2,14.8,0
11.7,19.8,4.5,80,0,3.9,3,13,0
11.7,19.8,4.5,80,0,3.9,3,13,0
11.6,20.6,2.5,79,0,1.3,2.8,9.4,0
11.6,20.6,2.5,79,0,1.3,2.8,9.4,0
10.4,20.6,2.2,98,0,0.5,2.2,9.4,0
10.4,20.6,2.2,98,0,0.5,2.2,9.4,0
11.9,15,5.5,82,0,2.4,11.9,31.7,0
11.9,15,5.5,82,0,2.4,11.9,31.7,0
10.4,18,4.4,92,0,1,3,11.1,0
10.4,18,4.4,92,0,1,3,11.1,0
10.3,16.4,5,83,0,1.9,1.7,11.1,0
10.3,16.4,5,83,0,1.9,1.7,11.1,0
7.1,16.4,2,95,0,0.6,1.9,13,0
7.1,16.4,2,95,0,0.6,1.9,13,0
11.8,19.4,3,67,0,2.7,3.7,13,0
11.8,19.4,3,67,0,2.7,3.7,13,0
13.2,20.6,4.8,77,0,1.8,1.7,11.1,0
13.2,20.6,4.8,77,0,1.8,1.7,11.1,0
13.3,20.6,7.8,90,7.11,1.9,5.2,16.5,0
13.3,20.6,7.8,90,7.11,1.9,5.2,16.5,0
12.6,18.4,7.8,95,5.08,1.3,4.6,13,0
12.6,18.4,7.8,95,5.08,1.3,4.6,13,0
13.8,21.4,5.2,77,0,2.4,5.6,13,0
13.8,21.4,5.2,77,0,2.4,5.6,13,0
15.1,22.4,6.3,73,0,3.7,6.3,37,0
15.1,22.4,6.3,73,0,3.7,6.3,37,0
13.6,22.6,4.2,79,0,2.7,3.1,16.5,0
13.6,22.6,4.2,79,0,2.7,3.1,16.5,0
15.4,23.5,4.1,74,0,2.4,2.2,14.8,0
15.4,23.5,4.1,74,0,2.4,2.2,14.8,0
17.2,24.6,4,66,0,2.4,3.7,11.1,0
17.2,24.6,4,66,0,2.4,3.7,11.1,0
17.6,25.7,8.4,77,1.015,1.3,3,13,0
17.6,25.7,8.4,77,1.015,1.3,3,13,0
16.5,24.5,9.6,81,2.03,3.4,10.9,22.2,0
16.5,24.5,9.6,81,2.03,3.4,10.9,22.2,0
13.5,21.3,9,95,21.08,2.9,8.1,18.3,0
13.5,21.3,9,95,21.08,2.9,8.1,18.3,0
16.6,23.5,9,77,13.97,3.7,6.7,14.8,0
16.6,23.5,9,77,13.97,3.7,6.7,14.8,0
17.9,24.4,9.4,73,23.88,3.7,12.4,22.2,0
17.9,24.4,9.4,73,23.88,3.7,12.4,22.2,0
17.3,24.4,8.8,59,0,4.2,6.7,11.1,0
17.3,24.4,8.8,59,0,4.2,6.7,11.1,0
18.1,24.9,9.4,58,0,4,3.3,9.4,0
18.1,24.9,9.4,58,0,4,3.3,9.4,0
14,21.4,6,97,0,2.3,15.4,46.5,0
14,21.4,6,97,0,2.3,15.4,46.5,0
14.5,18.8,9.4,90,76.96,3.1,9.3,22.2,0
14.5,18.8,9.4,90,76.96,3.1,9.3,22.2,0
14.8,20,10,86,0,3.2,4.3,13,0
14.8,20,10,86,0,3.2,4.3,13,0
13.3,22.8,6.7,88,0,2.7,8.7,22.2,0
13.3,22.8,6.7,88,0,2.7,8.7,22.2,0
13.3,22,6.4,80,1.02,3.5,9.8,29.4,0
13.3,22,6.4,80,1.02,3.5,9.8,29.4,0
11.7,22,5.2,80,0,3.4,2,11.1,0
11.7,22,5.2,80,0,3.4,2,11.1,0
18.1,25.5,6.2,68,0,2.9,1.5,9.4,0
18.1,25.5,6.2,68,0,2.9,1.5,9.4,0
18.3,26.4,6.8,84,1.015,2.1,3.3,14.8,0
18.3,26.4,6.8,84,1.015,2.1,3.3,14.8,0
17.8,24.6,8.8,84,2.03,3.2,17,27.8,0
17.8,24.6,8.8,84,2.03,3.2,17,27.8,0
19.6,26.6,10.2,76,0,3.2,3.1,14.8,0
19.6,26.6,10.2,76,0,3.2,3.1,14.8,0
20.6,27.6,11.5,79,0,2.7,3.3,13,0
20.6,27.6,11.5,79,0,2.7,3.3,13,0
21.6,28,12.2,75,0,3.2,3.5,16.5,0
21.6,28,12.2,75,0,3.2,3.5,16.5,0
21.3,31,13.8,75,0,4.2,5.4,16.5,0
21.3,31,13.8,75,0,4.2,5.4,16.5,0
22.1,31.2,12.2,74,0,3.1,2.6,9.4,0
22.1,31.2,12.2,74,0,3.1,2.6,9.4,0
23.2,31.5,10.8,73,0,2.4,4.1,18.3,0
23.2,31.5,10.8,73,0,2.4,4.1,18.3,0
20.7,26.5,15.2,82,1.02,3.7,6.3,16.5,0
20.7,26.5,15.2,82,1.02,3.7,6.3,16.5,0
19.6,26.5,15,84,0,3.4,8,18.3,0
19.6,26.5,15,84,0,3.4,8,18.3,0
20.9,28.4,14.2,77,0,3.9,8.7,20.6,0
20.9,28.4,14.2,77,0,3.9,8.7,20.6,0
20.1,28.4,12.2,81,0,3.4,5.4,14.8,0
20.1,28.4,12.2,81,0,3.4,5.4,14.8,0
17.4,25.6,14,93,4.06,2.7,4.1,13,0
17.4,25.6,14,93,4.06,2.7,4.1,13,0
20.8,28.6,10.2,73,3.05,4.2,0.9,7.6,0
20.8,28.6,10.2,73,3.05,4.2,0.9,7.6,0
23.1,30.3,14,67,0,4.2,4.8,14.8,0
23.1,30.3,14,67,0,4.2,4.8,14.8,0
25.5,34.4,15.6,59,0,4.2,2.4,11.1,0
25.5,34.4,15.6,59,0,4.2,2.4,11.1,0
25.8,34.2,18.6,64,0,3.7,4.6,14.8,0
25.8,34.2,18.6,64,0,3.7,4.6,14.8,0
27.5,34,18.8,57,0,3.2,8.7,46.5,0
27.5,34,18.8,57,0,3.2,8.7,46.5,0
28.9,37.5,17,48,0,3.5,13.1,33.5,0
28.9,37.5,17,48,0,3.5,13.1,33.5,0
27.6,38.7,19.6,52,0,2.9,9.4,22.2,0
27.6,38.7,19.6,52,0,2.9,9.4,22.2,0
27.2,38.7,16.1,44,0,4,7.4,20.6,0
27.2,38.7,16.1,44,0,4,7.4,20.6,0
31.3,39.9,19.5,32,0,3.9,7.4,18.3,0
31.3,39.9,19.5,32,0,3.9,7.4,18.3,0
29.1,39.9,19.7,45,0,3.4,13.7,27.8,0
29.1,39.9,19.7,45,0,3.4,13.7,27.8,0
27.7,35.8,21,52,0,2.7,9.4,22.2,0
27.7,35.8,21,52,0,2.7,9.4,22.2,0
26.1,36,15.6,39,3.05,3.7,4.8,20.6,0
26.1,36,15.6,39,3.05,3.7,4.8,20.6,0
27.9,37.4,16.2,32,0,3.2,7.2,24.1,0
27.9,37.4,16.2,32,0,3.2,7.2,24.1,0
28.9,38,18,27,0,3.2,5.2,14.8,0
28.9,38,18,27,0,3.2,5.2,14.8,0
33,42.8,20.4,29,0,2.3,4.4,20.6,0
33,42.8,20.4,29,0,2.3,4.4,20.6,0
33.4,43,22.6,24,0,2.3,4.1,16.5,0
33.4,43,22.6,24,0,2.3,4.1,16.5,0
32.6,43,23,32,0,2.6,8.3,22.2,0
32.6,43,23,32,0,2.6,8.3,22.2,0
26.1,34.3,19.7,70,0,3.2,3.7,14.8,0
26.1,34.3,19.7,70,0,3.2,3.7,14.8,0
25.8,35.2,20.6,62,0,3.1,8.9,38.9,0
25.8,35.2,20.6,62,0,3.1,8.9,38.9,0
27.7,35.4,18.4,55,9.91,4.8,4.4,13,0
27.7,35.4,18.4,55,9.91,4.8,4.4,13,0
32,41.4,21.4,40,0,3.7,9.4,24.1,0
32,41.4,21.4,40,0,3.7,9.4,24.1,0
32.3,41.8,21.9,32,0,3.9,4.8,18.3,0
32.3,41.8,21.9,32,0,3.9,4.8,18.3,0
33.5,42.3,21.4,28,0,3.9,5.4,18.3,0
33.5,42.3,21.4,28,0,3.9,5.4,18.3,0
34.3,43.8,24.4,26,0,4.3,10.4,18.3,0
34.3,43.8,24.4,26,0,4.3,10.4,18.3,0
31.8,43.8,23.1,22,0,4.5,11.1,22.2,0
31.8,43.8,23.1,22,0,4.5,11.1,22.2,0
33.2,41.7,25,19,0,4.5,4.4,14.8,0
33.2,41.7,25,19,0,4.5,4.4,14.8,0
29.9,42.2,23,39,0,3.2,12.2,37,0
29.9,42.2,23,39,0,3.2,12.2,37,0
30.6,39,22.7,35,0,4,13,24.1,0
30.6,39,22.7,35,0,4,13,24.1,0
28.6,39,22,40,0,3.9,12,25.9,0
28.6,39,22,40,0,3.9,12,25.9,0
24.8,36.2,21,64,5.08,3.7,6.9,20.6,0.446666667
24.8,36.2,21,64,5.08,3.7,6.9,20.6,0.446666667
33.8,41.7,23.2,32,0,4.3,3.9,14.8,0
33.8,41.7,23.2,32,0,4.3,3.9,14.8,0.446666667
34.3,43.8,25.6,31,0.51,4.2,8.3,20.6,0.53
34.3,43.8,25.6,31,0.51,4.2,8.3,20.6,0.81
35.6,43.8,25.7,31,0,4.5,3.3,13,0.66
