T,TM,Tm,H,PP,VV,V,VM,NOx
29.9,36.5,23.4,49.5,0,4.4,4.8,12.95,24.23
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,23.69
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,19.73
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,16.12
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,16.82
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,21.56
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,19.66
32.6,41,24.9,42.5,0,4.4,8.7,17.4,20.53
32.6,41,24.9,42.5,0,4.4,8.7,17.4,39.73
32.4,41,25.1,41,0,4.5,8.5,18.3,35.05
32.4,41,25.1,41,0,4.5,8.5,18.3,10.9
32.8,41,24.7,44,0,4.3,8.9,16.5,2.75
32.8,41,24.7,44,0,4.3,8.9,16.5,6.75
34,43,24.7,43,0,4.3,9.1,18.3,26.2
34,43,24.7,43,0,4.3,9.1,18.3,26.61
34.2,43.5,25.85,43,0,4.15,9.25,19.45,27.18
34.2,43.5,25.85,43,0,4.15,9.25,19.45,27.38
34.4,44,27,43,0,4,9.4,20.6,27.61
34.4,44,27,43,0,4,9.4,20.6,27.86
35.7,45,26.5,29,0,4.5,5.7,13,37.83
35.7,45,26.5,29,0,4.5,5.7,13,33.62
35.5,45,24.1,26,0,4.7,6.7,14.8,41.92
35.5,45,24.1,26,0,4.7,6.7,14.8,45.4
35.6,45,27,27,0,4.7,9.6,14.8,24.33
35.6,45,27,27,0,4.7,9.6,14.8,23.72
34.5,43,27,35,0,4.7,9.3,18.3,23.34
34.5,43,27,35,0,4.7,9.3,18.3,21.8
37.3,44,27.2,24,0,4.7,10.2,18.3,22.5
37.3,44,27.2,24,0,4.7,10.2,18.3,27.15
32.9,43,27.4,49,0,3.7,7.4,16.5,17.74
32.9,43,27.4,49,0,3.7,7.4,16.5,18.49
34.4,40,25.2,48,7.11,3.9,6.1,18.3,19.28
34.4,40,25.2,48,7.11,3.9,6.1,18.3,18.06
36.5,45,27,33,0,4.3,5.9,14.8,17.1
36.5,45,27,33,0,4.3,5.9,14.8,21.42
36.3,46,28.1,42,0,4.7,15,24.1,31.64
36.3,46,28.1,42,0,4.7,15,24.1,23
34.9,44,28.4,51,0,4.7,13.3,22.2,20.42
34.9,44,28.4,51,0,4.7,13.3,22.2,21.13
36.1,46,29,46,0,4.5,11.9,18.3,19.66
36.1,46,29,46,0,4.5,11.9,18.3,19.86
35.9,45,29,47,0,4.7,15,22.2,24.74
35.9,45,29,47,0,4.7,15,22.2,25.53
35.2,45,28.4,50,0,4.8,15.6,24.1,25.9
35.2,45,28.4,50,0,4.8,15.6,24.1,22.25
35.6,45,28.7,50,0,4.7,12.4,22.2,24.29
35.6,45,28.7,50,0,4.7,12.4,22.2,19.03
36.3,46,28.7,38,0,4.5,12,18.3,24.15
36.3,46,28.7,38,0,4.5,12,18.3,19.74
34.7,43,29,49,0,4.5,15,27.8,21.58
34.7,43,29,49,0,4.5,15,27.8,24.53
32.8,40.4,27,56,1.015,4.2,13,29.4,27.25
32.8,40.4,27,56,1.015,4.2,13,29.4,29.9
33.6,41,26.5,48,2.03,3.5,12,31.7,24.8
33.6,41,26.5,48,2.03,3.5,12,31.7,21.89
