T,TM,Tm,H,PP,VV,V,VM,NOx
12.7,23.5,3.8,87,0,1.3,1.1,9.4,27.71
12.3,21.9,4.2,80,0,3.1,2.8,11.1,38.41
12.3,21.9,4.2,80,0,3.1,2.8,11.1,27.87
12.9,21.5,3.3,78,0,3.9,4.1,16.5,28.84
12.9,21.5,3.3,78,0,3.9,4.1,16.5,26.51
12.7,21.6,6,92,0,4,3.5,13,35.48
12.7,21.6,6,92,0,4,3.5,13,22.74
12.1,19.3,6.6,100,0,0.5,0.4,7.6,28.91
12.1,19.3,6.6,100,0,0.5,0.4,7.6,24.49
12.2,15.7,6.6,100,0,1,4.4,11.1,28.34
12.2,15.7,6.6,100,0,1,4.4,11.1,31.63
9.8,14.8,3.2,100,0,1,2.4,14.8,31.6
9.8,14.8,3.2,100,0,1,2.4,14.8,13.12
9.6,14.8,4.4,99,0,1.6,0.7,3.5,22.36
9.6,14.8,4.4,99,0,1.6,0.7,3.5,22.36
8.6,11.2,5.6,99,0,1.6,2.4,9.4,22.36
8.6,11.2,5.6,99,0,1.6,2.4,9.4,22.36
6.6,10.2,2.4,99,0,1,1.3,9.4,22.36
6.6,10.2,2.4,99,0,1,1.3,9.4,22.36
10.6,18,2.6,99,0,1.1,3.1,13,22.36
10.6,18,2.6,99,0,1.1,3.1,13,22.36
11.7,19,2.6,91,0,1.6,2.2,9.4,22.36
11.7,19,2.6,91,0,1.6,2.2,9.4,22.36
12.4,22.1,4.2,88,0,3.1,4.4,18.3,22.36
12.4,22.1,4.2,88,0,3.1,4.4,18.3,22.36
11.7,20.4,2.4,77,0,3.1,1.9,11.1,22.36
11.7,20.4,2.4,77,0,3.1,1.9,11.1,22.36
13.3,21.5,2.6,68,0,3.2,3.1,16.5,22.36
13.3,21.5,2.6,68,0,3.2,3.1,16.5,22.36
13.1,21.5,4,75,0,2.7,4.4,16.5,22.36
13.1,21.5,4,75,0,2.7,4.4,16.5,22.36
14.8,21.9,7.6,84,0,3.5,6.1,16.5,22.36
14.8,21.9,7.6,84,0,3.5,6.1,16.5,22.36
14.4,21.3,6.4,87,0,2.9,1.1,9.4,22.36
14.4,21.3,6.4,87,0,2.9,1.1,9.4,22.36
12.4,21.8,4,92,0,1.1,1.9,14.8,22.36
12.4,21.8,4,92,0,1.1,1.9,14.8,22.36
13,21.8,4.2,73,0,3.2,1.3,13,22.36
13,21.8,4.2,73,0,3.2,1.3,13,22.36
12.8,21.3,4.4,74,0,4.2,4.4,14.8,22.36
12.8,21.3,4.4,74,0,4.2,4.4,14.8,22.36
13.4,21.2,3.6,70,0,3.7,4.4,14.8,22.36
13.4,21.2,3.6,70,0,3.7,4.4,14.8,22.36
17.8,23.7,8.7,97,0,2.3,5.7,22.2,22.36
17.8,23.7,8.7,97,0,2.3,5.7,22.2,22.36
18.4,24,11.6,88,0,4,7.6,20.6,22.36
18.4,24,11.6,88,0,4,7.6,20.6,22.36
16.9,24.4,6.6,76,0,3.7,7.6,16.5,20.9614
16.9,24.4,6.6,76,0,3.7,7.6,16.5,20.9614
18,27,6.8,71,0,2.7,3,13,20.9614
18,27,6.8,71,0,2.7,3,13,20.9614
17.5,26,10,83,0,2.1,1.3,11.1,20.9614
17.5,26,10,83,0,2.1,1.3,11.1,20.9614
18.2,26.6,8.2,81,0,1.6,1.1,9.4,20.9525
18.2,26.6,8.2,81,0,1.6,1.1,9.4,20.9525
19.4,27.9,8.6,83,0,1.9,1.7,11.1,20.9525
19.4,27.9,8.6,83,0,1.9,1.7,11.1,20.9525
19.7,28,9.6,87,0,1.8,1.9,11.1,20.9525
19.7,28,9.6,87,0,1.8,1.9,11.1,20.9525
18.9,28,9.8,89,0,2.1,4.3,16.5,20.9525
18.9,28,9.8,89,0,2.1,4.3,16.5,20.9525
18.8,25.5,9.6,78,0,5,4.3,13,20.9525
18.8,25.5,9.6,78,0,5,4.3,13,20.9525
19.3,27,9.8,77,0,4.2,1.5,9.4,21.02
19.3,27,9.8,77,0,4.2,1.5,9.4,20.97
21.2,28,11.8,70,0,4.2,3.5,13,20.79
21.2,28,11.8,70,0,4.2,3.5,13,21.03
15.9,21.4,12,95,0,3.9,1.7,14.8,21.15
15.9,21.4,12,95,0,3.9,1.7,14.8,20.93
18.2,25,13,82,0,4.3,6.3,16.5,20.82
18.2,25,13,82,0,4.3,6.3,16.5,20.86
18.4,25,12,73,0,4.8,7.2,16.5,21.15
18.4,25,12,73,0,4.8,7.2,16.5,20.97
21.6,27.8,16.8,76,0,3.7,10.2,27.8,20.93
21.6,27.8,16.8,76,0,3.7,10.2,27.8,20.87
20.8,27.1,14,68,0,4.8,5.7,16.5,20.99
20.8,27.1,14,68,0,4.8,5.7,16.5,21.22
18.4,27.5,11,59,0,5.5,10.6,25.9,20.81
18.4,27.5,11,59,0,5.5,10.6,25.9,8.62
20.6,28.2,15.8,70,0,4.7,15.6,29.4,9.19
20.6,28.2,15.8,70,0,4.7,15.6,29.4,8.35
20.4,28.3,14,74,0,5.1,8,18.3,12.51
20.4,28.3,14,74,0,5.1,8,18.3,21.53
20.8,28.1,12.8,66,0,4.8,4.8,16.5,15.722
20.8,28.1,12.8,66,0,4.8,4.8,16.5,27.03
24.3,31.4,17.9,67,0,4.3,5.7,16.5,39.7
24.3,31.4,17.9,67,0,4.3,5.7,16.5,21.99
24.8,32.1,15.9,62,0,4.3,9.4,16.5,28.68
24.8,32.1,15.9,62,0,4.3,9.4,16.5,61.6
27,34.4,18.8,60,0,5.1,4.3,11.1,126.16
27,34.4,18.8,60,0,5.1,4.3,11.1,43.79
27.6,36,20.8,58,0,4.3,7.6,20.6,39.68
27.6,36,20.8,58,0,4.3,7.6,20.6,33.37
22.9,31,14.8,53,0,5.3,4.6,13,31.1
22.9,31,14.8,53,0,5.3,4.6,13,31.08
24.2,32,14.8,52,0,4.5,6.3,18.3,35.05
24.2,32,14.8,52,0,4.5,6.3,18.3,38.19
22.5,32.2,16,58,0,4.5,9.8,27.8,29.47
22.5,32.2,16,58,0,4.5,9.8,27.8,29.27
26.9,36,17.4,37,0,5.1,9.1,24.1,28.26
26.9,36,17.4,37,0,5.1,9.1,24.1,27.52
27.9,38,18,36,0,5.1,6.7,20.6,27.36
27.9,38,18,36,0,5.1,6.7,20.6,26.9
29.5,39,18.4,34,0,5.3,5.2,20.6,26.44
29.5,39,18.4,34,0,5.3,5.2,20.6,26.78
25.1,38.7,18,47,0,4.5,15.4,35.2,27.02
25.1,38.7,18,47,0,4.5,15.4,35.2,27.63
27.6,36,17.7,34,0,5.6,10.2,25.9,29.34
27.6,36,17.7,34,0,5.6,10.2,25.9,32.13
28.5,38,17.6,35,0,4.7,14.6,35.2,31.94
28.5,38,17.6,35,0,4.7,14.6,35.2,31.77
28.7,37.8,15.4,19,0,4.8,4.3,14.8,34.32
28.7,37.8,15.4,19,0,4.8,4.3,14.8,11.84
29.7,38,17.4,20,0,4.5,6.7,18.3,17.48
29.7,38,17.4,20,0,4.5,6.7,18.3,20.67
30.2,39.2,18.8,21,0,5.6,9.4,24.1,20.48
30.2,39.2,18.8,21,0,5.6,9.4,24.1,20.48
32.6,42,21,23,0,3.9,5.7,20.6,19.66
32.6,42,21,23,0,3.9,5.7,20.6,19.46
34.1,43,21.2,19,0,3.1,4.1,18.3,19.19
34.1,43,21.2,19,0,3.1,4.1,18.3,18.3
31,43.4,25,30,0,2.1,10.7,25.9,19.16
31,43.4,25,30,0,2.1,10.7,25.9,19.19
31.7,38,20.6,36,0,3.2,2.4,9.4,18.61
31.7,38,20.6,36,0,3.2,2.4,9.4,16.76
33.1,40,21,36,0,3.2,3.3,13,14.49
33.1,40,21,36,0,3.2,3.3,13,15.41
33.5,41,25,39,0,3.5,7.8,16.5,18.35
33.5,41,25,39,0,3.5,7.8,16.5,15.59
32.2,41,23,31,0,4.7,9.8,38.9,15.42
32.2,41,23,31,0,4.7,9.8,38.9,12.91
32.8,41,22,27,0,5,10.6,24.1,10.99
32.8,41,22,27,0,5,10.6,24.1,14.59
32.3,41.6,23,24,0,5.1,8.9,24.1,7.46
32.3,41.6,23,24,0,5.1,8.9,24.1,13.59
34.4,45,25,33,0,3.7,7.4,22.2,19.19
34.4,45,25,33,0,3.7,7.4,22.2,19.32
35.1,43.8,28,36,0,3.9,8.5,22.2,19.3
35.1,43.8,28,36,0,3.9,8.5,22.2,19.05
35.8,44,26.5,30,0,5.3,4.6,14.8,19.81
35.8,44,26.5,30,0,5.3,4.6,14.8,22.66
30.3,37,21.6,41,0,5,5.6,14.8,23.12
30.3,37,21.6,41,0,5,5.6,14.8,21.08
32.3,40,23,32,0,4.2,6.5,29.4,19.59
32.3,40,23,32,0,4.2,6.5,29.4,19.81
33.2,41,23.6,33,0,5,7.8,18.3,20.49
33.2,41,23.6,33,0,5,7.8,18.3,17.81
30.6,37,22.4,51,0,4.2,3.1,13,12.66
30.6,37,22.4,51,0,4.2,3.1,13,13.36
34.3,40,24.6,38,0,3.5,7.2,48.2,13.49
34.3,40,24.6,38,0,3.5,7.2,48.2,13.35
33.4,40.8,25,37,0,4.2,7.6,18.3,14.95
33.4,40.8,25,37,0,4.2,7.6,18.3,20.11
34.1,42,26.8,38,0,4.3,5.7,16.5,19.96
34.1,42,26.8,38,0,4.3,5.7,16.5,18.08
33.8,42.1,26.6,38,0,4.7,14.1,27.8,16.84
33.8,42.1,26.6,38,0,4.7,14.1,27.8,16.69
33.2,40,26,40,0,4.2,13.3,63,16.62
33.2,40,26,40,0,4.2,13.3,63,19.27
33.7,41,25.6,37,0,4.7,10,25.9,25.24
33.7,41,25.6,37,0,4.7,10,25.9,27.66
33.7,40.4,28,45,0,3.2,5.2,40.7,21
33.7,40.4,28,45,0,3.2,5.2,40.7,25.88
31.3,40.4,27,62,18.03,3.1,6.9,51.9,32.07
31.3,40.4,27,62,18.03,3.1,6.9,51.9,32.07
31.8,39.9,24.7,64,9.015,3.2,13.9,42.4,60.38
31.8,39.9,24.7,64,9.015,3.2,13.9,42.4,23.56
33.9,38,27.4,62,0,2.7,5.6,13,23.74
33.9,38,27.4,62,0,2.7,5.6,13,20.6
31.6,39.2,28.6,69,0,2.9,8.1,20.6,16.05
31.6,39.2,28.6,69,0,2.9,8.1,20.6,23.87
29.4,35.3,26,74,0,3.9,10,35.2,18.51
29.4,35.3,26,74,0,3.9,10,35.2,13.82
34.4,39,28.2,63,0,2.9,2.6,9.4,29.63
34.4,39,28.2,63,0,2.9,2.6,9.4,19.65
33.2,39.3,29.4,69,0,2.9,11.3,24.1,19.66
33.2,39.3,29.4,69,0,2.9,11.3,24.1,16.86
31.7,37.2,26.7,65,0,3.4,9.3,25.9,18.1
31.7,37.2,26.7,65,0,3.4,9.3,25.9,21.4
31.5,39,28,71,0,2.4,10,35.2,21.24
31.5,39,28,71,0,2.4,10,35.2,31.14
26.8,37,23,92,0.125,2.9,13.9,46.5,32.09
26.8,37,23,92,0.125,2.9,13.9,46.5,25.66
28.3,32,24.6,87,0.25,2.9,2.6,14.8,26.98
28.3,32,24.6,87,0.25,2.9,2.6,14.8,27.34
31.9,36,23.7,77,0,2.1,1.5,9.4,27.11
31.9,36,23.7,77,0,2.1,1.5,9.4,26.72
33.7,37,28.5,69,0,2.3,2.8,14.8,27.34
33.7,37,28.5,69,0,2.3,2.8,14.8,27.03
27.6,38.2,23.5,88,0,3.1,9.3,35.2,26.21
27.6,38.2,23.5,88,0,3.1,9.3,35.2,25.82
31.4,36.2,27.8,88,0,2.7,2.6,14.8,24.48
31.4,36.2,27.8,88,0,2.7,2.6,14.8,22.06
31.4,36.3,26,88,0,2.6,4.6,16.5,6.29
31.4,36.3,26,88,0,2.6,4.6,16.5,7.8
29.4,35.8,25,89,0,2.6,3.9,22.2,6.41
29.4,35.8,25,89,0,2.6,3.9,22.2,10.6
30.8,34,26.6,84,0,2.7,2.2,11.1,22.26
30.8,34,26.6,84,0,2.7,2.2,11.1,27.88
32.6,36,27.6,81,0,2.9,1.9,9.4,26.33
32.6,36,27.6,81,0,2.9,1.9,9.4,25.44
33.5,37.2,29,78,0,3.5,2.8,9.4,25.7
33.5,37.2,29,78,0,3.5,2.8,9.4,25.04
30.5,34.8,28,90,0,3.4,3.7,22.2,31.65
30.5,34.8,28,90,0,3.4,3.7,22.2,28.2
31.1,36,27.9,87,0,3.4,9.4,25.9,28.58
31.1,36,27.9,87,0,3.4,9.4,25.9,26.39
26.5,37.2,25,100,0,3.4,10.4,32.4,23.7
26.5,37.2,25,100,0,3.4,10.4,32.4,23.68
30.6,34,23.7,89,0,2.7,1.9,11.1,30.16
30.6,34,23.7,89,0,2.7,1.9,11.1,43.96
30.3,34.7,25.4,90,0,2.7,8.1,18.3,55.27
30.3,34.7,25.4,90,0,2.7,8.1,18.3,53.83
29.6,34.4,25.7,88,0,3.2,5.4,13,52.24
29.6,34.4,25.7,88,0,3.2,5.4,13,42.76
31.3,35,26.4,84,0,4.2,1.1,5.4,31.89
31.3,35,26.4,84,0,4.2,1.1,5.4,35.21
27.7,30.5,24.8,99,0,3.7,6.3,16.5,37.05
27.7,30.5,24.8,99,0,3.7,6.3,16.5,40.66
29.7,33,25.8,95,0,3.2,0.9,18.3,43.72
29.7,33,25.8,95,0,3.2,0.9,18.3,41.44
31.1,34,26.5,88,0,2.9,0.9,5.4,59.14
31.1,34,26.5,88,0,2.9,0.9,5.4,48.5
30.7,35,26.4,88,0,3.2,0.9,5.4,49.42
30.7,35,26.4,88,0,3.2,0.9,5.4,63.12
30.7,35.5,25,86,0,3.4,4.8,24.1,59.9
30.7,35.5,25,86,0,3.4,4.8,24.1,58.63
29.4,35.8,24.4,89,0,4.3,2.8,13,63.32
29.4,35.8,24.4,89,0,4.3,2.8,13,58.62
31.6,36.4,26.6,80,0,3.9,2.6,7.6,42.66
31.6,36.4,26.6,80,0,3.9,2.6,7.6,46.82
29.1,36.4,26,90,0,3.7,3.9,18.3,41.97
29.1,36.4,26,90,0,3.7,3.9,18.3,41.35
30.2,35.7,25.2,88,0,3.5,3.3,9.4,50.66
30.2,35.7,25.2,88,0,3.5,3.3,9.4,20.68
25.2,32.5,22.8,100,0,2.9,4.6,14.8,34.54
25.2,32.5,22.8,100,0,2.9,4.6,14.8,63.98
29.9,34,23.5,87,0,4.3,3.9,11.1,75.25
29.9,34,23.5,87,0,4.3,3.9,11.1,54.79
25.3,34.8,24,99,0,2.4,7.4,16.5,70
25.3,34.8,24,99,0,2.4,7.4,16.5,69.43
29.1,34,24.9,89,0,3.7,2,18.3,62.91
29.1,34,24.9,89,0,3.7,2,18.3,64.4
26.2,34.4,22,95,2.03,3.4,3.9,37,66.33
26.2,34.4,22,95,2.03,3.4,3.9,37,31.55
27.7,32.5,21.6,86,10.92,3.5,3.7,14.8,34.36
27.7,32.5,21.6,86,10.92,3.5,3.7,14.8,58.53
29,33.5,24,80,0,4.2,3.7,14.8,63.92
29,33.5,24,80,0,4.2,3.7,14.8,63.69
29.8,34.6,25.8,85,0,3.5,2.8,9.4,49.43
29.8,34.6,25.8,85,0,3.5,2.8,9.4,44.79
30.1,35,26,86,0,3.4,3,13,46.17
30.1,35,26,86,0,3.4,3,13,58.25
30.3,35.6,26.2,85,0,3.7,3.5,11.1,48.19
30.3,35.6,26.2,85,0,3.7,3.5,11.1,52.26
28.7,35,23.7,77,0,3.7,3.7,20.6,60.58
28.7,35,23.7,77,0,3.7,3.7,20.6,55.21
26.3,35.5,22.6,89,0,4.3,4.8,25.9,60.97
26.3,35.5,22.6,89,0,4.3,4.8,25.9,55.69
28.2,33.2,22.6,84,0,4.5,3.1,14.8,58.08
28.2,33.2,22.6,84,0,4.5,3.1,14.8,54.46
30.3,35.2,26.4,84,0,2.7,2.2,9.4,64.23
30.3,35.2,26.4,84,0,2.7,2.2,9.4,64.86
30.4,35.2,26.2,83,0,2.7,2.8,11.1,47.57
30.4,35.2,26.2,83,0,2.7,2.8,11.1,39.31
28.8,35,23,86,0,2.3,3.9,16.5,55.41
28.8,35,23,86,0,2.3,3.9,16.5,82.42
28.1,33,23.4,88,0,2.3,2.6,9.4,60.93
28.1,33,23.4,88,0,2.3,2.6,9.4,70.23
27.3,32.8,25,94,0,1.8,0.6,9.4,74.45
27.3,32.8,25,94,0,1.8,0.6,9.4,76.3
28.3,33,21,93,0,1.9,1.7,11.1,74.09
28.3,33,21,93,0,1.9,1.7,11.1,70.02
29.8,34.2,25.2,83,0,2.6,2.6,11.1,74.85
29.8,34.2,25.2,83,0,2.6,2.6,11.1,44.51
29.6,34.6,25,84,0,1.9,2.4,11.1,47.92
29.6,34.6,25,84,0,1.9,2.4,11.1,49.1
29.6,35.1,24.5,82,0,2.1,3.3,13,53.92
29.6,35.1,24.5,82,0,2.1,3.3,13,64.18
26.7,33,21.7,75,0,4.3,3.5,13,71.01
26.7,33,21.7,75,0,4.3,3.5,13,67.16
27,33.1,21.6,76,0,3.1,2.2,9.4,68.56
27,33.1,21.6,76,0,3.1,2.2,9.4,56.49
26.3,33.4,21,74,0,3.1,2.4,11.1,47.96
26.3,33.4,21,74,0,3.1,2.4,11.1,47.12
24.8,34.3,17,66,0,3.1,2.4,11.1,45.26
24.8,34.3,17,66,0,3.1,2.4,11.1,45.11
24.6,33.6,16.8,66,0,3.2,3.1,11.1,53.7
24.6,33.6,16.8,66,0,3.2,3.1,11.1,53.03
24.7,33.5,16.7,61,0,3.1,3.9,18.3,72.33
24.7,33.5,16.7,61,0,3.1,3.9,18.3,62.66
24.7,33.8,17,63,0,2.1,0.7,7.6,59.08
24.7,33.8,17,63,0,2.1,0.7,7.6,44.01
24.4,33.4,18,68,0,2.3,0.9,5.4,55.01
24.4,33.4,18,68,0,2.3,0.9,5.4,59.66
22.6,33.4,17,80,0,1.9,1.1,5.4,62.28
22.6,33.4,17,80,0,1.9,1.1,5.4,56.04
22.6,32.4,16.4,69,0,2.6,1.9,9.4,59.01
22.6,32.4,16.4,69,0,2.6,1.9,9.4,46.04
22,31.8,16,72,0,2.6,2.8,14.8,47.27
22,31.8,16,72,0,2.6,2.8,14.8,32.36
22.1,31.2,15,72,0,2.3,3.7,16.5,44.54
22.1,31.2,15,72,0,2.3,3.7,16.5,45
20.9,29.1,13.7,74,0,2.1,0.6,3.5,45.96
20.9,29.1,13.7,74,0,2.1,0.6,3.5,66.33
20.3,29.6,13.6,84,0,1,0.7,3.5,45.63
20.3,29.6,13.6,84,0,1,0.7,3.5,48.25
19.9,28,13,90,0,0.5,0.2,3.5,63.7
19.9,28,13,90,0,0.5,0.2,3.5,50.91
20.6,28.6,13.5,81,0,1.1,1.3,9.4,37.45
20.6,28.6,13.5,81,0,1.1,1.3,9.4,41.86
19.1,29,12,69,0,1.9,2.2,14.8,42.17
19.1,29,12,69,0,1.9,2.2,14.8,32.3
18.3,29,10.2,63,0,1.8,3.5,16.5,38.13
18.3,29,10.2,63,0,1.8,3.5,16.5,38.27
19.1,29.6,10.4,64,0,1.8,1.3,9.4,35.54
19.1,29.6,10.4,64,0,1.8,1.3,9.4,40.15
18.7,29.3,10.3,63.5,0,1.8,2.4,12.95,43.77
18.7,29.3,10.3,63.5,0,1.8,2.4,12.95,38.02
17.7,27,10,61,0,1.9,2.6,14.8,36.4
17.7,27,10,61,0,1.9,2.6,14.8,38.57
16.9,27.4,9.8,62,0,2.1,2.6,14.8,41.92
16.9,27.4,9.8,62,0,2.1,2.6,14.8,32.73
16.4,26.6,9,67,0,2.1,3.1,16.5,24.78
16.4,26.6,9,67,0,2.1,3.1,16.5,26.34
17.9,26.9,10.6,76,0,1.8,3.3,11.1,28.79
17.9,26.9,10.6,76,0,1.8,3.3,11.1,33.44
18.9,28,13,75,0,1.8,1.3,7.6,31.56
18.9,28,13,75,0,1.8,1.3,7.6,30.87
18.6,27,13,65,0,2.4,1.7,63,29.88
18.6,27,13,65,0,2.4,1.7,63,24.14
19,28,12,48,0,3.4,4.6,18.3,28.16
19,28,12,48,0,3.4,4.6,18.3,32.58
17.2,28.4,10,50,0,3.1,5.2,20.6,32.18
17.2,28.4,10,50,0,3.1,5.2,20.6,35.75
16.4,28,7,51,0,3.9,4.1,20.6,38.19
16.4,28,7,51,0,3.9,4.1,20.6,33.57
15.2,25.6,8,85,0,1.6,1.5,9.4,31.98
15.2,25.6,8,85,0,1.6,1.5,9.4,30.37
14.7,25.4,6.3,70,0,1.8,2.2,13,30.1
14.7,25.4,6.3,70,0,1.8,2.2,13,28.53
15.5,26,8,66,0,2.3,0.7,5.4,28.61
15.5,26,8,66,0,2.3,0.7,5.4,28.03
15.8,25.2,7.7,87,0,0.8,0.4,5.4,33.48
15.8,25.2,7.7,87,0,0.8,0.4,5.4,33.76
13.9,24.3,9.7,100,0,0.2,0.4,3.5,32.97
13.9,24.3,9.7,100,0,0.2,0.4,3.5,34.8
14.3,23,9,99,0,0.3,0,4.45,34.37
14.3,23,9,99,0,0.3,0,4.45,27.56
12.9,17,8,100,0,0.5,2.8,13,20.04
12.9,17,8,100,0,0.5,2.8,13,15.73
11.8,20,6,92,0,0.8,0.9,5.4,20.93
11.8,20,6,92,0,0.8,0.9,5.4,19.2
12,21,5,90,0,1.1,0.7,7.6,22.94
12,21,5,90,0,1.1,0.7,7.6,24.89
13.4,22.2,4.6,85,0,1.4,2.8,16.5,28.68
13.4,22.2,4.6,85,0,1.4,2.8,16.5,32.1
13.4,24,5,76,0,1.9,3.9,14.8,22.8
13.4,24,5,76,0,1.9,3.9,14.8,12.9
13.1,24.5,5,71,0,2.4,3.3,14.8,46.82
13.1,24.5,5,71,0,2.4,3.3,14.8,19.05
14.3,21.5,5,85,0,2.9,3.1,13,21.68
14.3,21.5,5,85,0,2.9,3.1,13,23.62
11.9,22,3,75,0,2.4,2,11.1,39.47
11.9,22,3,75,0,2.4,2,11.1,24.78
13.4,22,5.4,79,0,1.8,0.7,7.6,23.47
13.4,22,5.4,79,0,1.8,0.7,7.6,22.26
14.55,22.6,7.95,90,0,2.2,1.1,6.45,21.32
14.55,22.6,7.95,90,0,2.2,1.1,6.45,24.51
14.1,22.2,8,94,0,1.8,0.9,3.5,41.14
14.1,22.2,8,94,0,1.8,0.9,3.5,27.48
15,23,7.9,86,0,2.6,1.3,9.4,27.64
15,23,7.9,86,0,2.6,1.3,9.4,30.17
14.9,23.2,8.8,94,0,2.1,0.9,5.4,26.41
14.9,23.2,8.8,94,0,2.1,0.9,5.4,24.93
11.7,17,8,100,0,3.2,6.1,20.6,24.95
11.7,17,8,100,0,3.2,6.1,20.6,27.57
10.6,17.4,5,97,0,3.1,3.5,11.1,37.5
10.6,17.4,5,97,0,3.1,3.5,11.1,37.36
9.3,17,2,79,0,3.4,5.6,18.3,26.54
9.3,17,2,79,0,3.4,5.6,18.3,19.4
9.2,17.9,1,77,0,2.7,3.1,14.8,23.98
9.2,17.9,1,77,0,2.7,3.1,14.8,44.67
10.6,17.8,2.2,73,0,2.4,10.9,31.7,70.69
10.6,17.8,2.2,73,0,2.4,10.9,31.7,132.09
13.4,20,7,70,0,4,8,20.6,78.47
13.4,20,7,70,0,4,8,20.6,88.46
9.3,17,3.6,94,0,2.6,5,20.6,32.14
9.3,17,3.6,94,0,2.6,5,20.6,30.18
10.8,19,2,88,0,2.9,3.9,14.8,34.11
10.8,19,2,88,0,2.9,3.9,14.8,33.29
11.8,19.7,7.1,96,0,2.1,3,13,32.32
11.8,19.7,7.1,96,0,2.1,3,13,32.6
14.3,16.6,12,98,0,3.5,9.4,27.8,31.36
14.3,16.6,12,98,0,3.5,9.4,27.8,30.08
14.3,17,12,100,0,2.3,11.5,25.9,36.82
14.3,17,12,100,0,2.3,11.5,25.9,32.28
12.3,19,8,99,0,2.4,2.6,13,26.07
12.3,19,8,99,0,2.4,2.6,13,23.63
13.5,20.5,7.4,97,0,1.9,4.8,16.5,25.02
13.5,20.5,7.4,97,0,1.9,4.8,16.5,36.61
13.5,21,6.9,89,0,3.1,3.5,13,31.27
13.5,21,6.9,89,0,3.1,3.5,13,32.71
13.1,21.3,5.6,96,0,2.3,0.9,7.6,32.71
13.1,21.3,5.6,96,0,2.3,0.9,7.6,32.71
12.9,20.1,7,96,0,1.3,2,11.1,30.51
12.9,20.1,7,96,0,1.3,2,11.1,30.26
13.5,20.7,5,84,0,3.1,4.1,14.8,29.13
13.5,20.7,5,84,0,3.1,4.1,14.8,29.13
13.8,21.4,7,79,0,2.9,2,9.4,29.13
13.8,21.4,7,79,0,2.9,2,9.4,35.12
13,21.5,6.4,84,0,2.7,3.3,16.5,41.03
13,21.5,6.4,84,0,2.7,3.3,16.5,35.08
13.7,23.3,5.6,81,0,3.2,4.3,16.5,30.1
13.7,23.3,5.6,81,0,3.2,4.3,16.5,31.11
14.4,23.9,6,92,0,2.6,2.8,16.5,57.07
14.4,23.9,6,92,0,2.6,2.8,16.5,44.3
17.4,24,10.8,77,0,2.7,3.7,13,48.79
17.4,24,10.8,77,0,2.7,3.7,13,54.08
20.8,28,14.8,78,0,4,5.6,16.5,95.37
20.8,28,14.8,78,0,4,5.6,16.5,45.5
17.8,29.4,11,89,0,3.9,7,18.3,60.06
17.8,29.4,11,89,0,3.9,7,18.3,25.84
15.6,25.1,9,67,0,4.2,5.7,18.3,35.84
15.6,25.1,9,67,0,4.2,5.7,18.3,21.62
15.9,25,7.7,60,0,4.2,5,18.3,22.38
15.9,25,7.7,60,0,4.2,5,18.3,21.09
16.4,25.2,7.8,68,0,3.9,4.4,18.3,81.04
16.4,25.2,7.8,68,0,3.9,4.4,18.3,34.47
17.8,26,8.6,59,0,3.9,3.9,13,24.64
17.8,26,8.6,59,0,3.9,3.9,13,23.29
17.8,25,10.5,74,0,4.5,4.1,14.8,22.93
17.8,25,10.5,74,0,4.5,4.1,14.8,54.34
17.7,26.2,10.2,73,0,4.2,4.6,13,67.32
17.7,26.2,10.2,73,0,4.2,4.6,13,95.71
16.8,26,9,66,0,4.5,4.6,18.3,23.35
16.8,26,9,66,0,4.5,4.6,18.3,21.59
16.1,26.4,10,86,0,3.4,5.9,18.3,22.57
16.1,26.4,10,86,0,3.4,5.9,18.3,30.02
16.1,22,9.6,82,0,3.5,8.3,27.8,53.48
16.1,22,9.6,82,0,3.5,8.3,27.8,42.36
13.9,22.9,10,91,0,4.2,5.4,20.6,48.35
13.9,22.9,10,91,0,4.2,5.4,20.6,42.14
14.6,22,6.9,63,0,4.3,4.4,16.5,30.28
14.6,22,6.9,63,0,4.3,4.4,16.5,24.49
16.3,23.5,7.7,68,0,4.3,4.1,16.5,23.38
16.3,23.5,7.7,68,0,4.3,4.1,16.5,16.64
15.2,23.7,8,79,0,3.5,7.2,22.2,17.31
15.2,23.7,8,79,0,3.5,7.2,22.2,21
20.1,28,10.4,73,0,4.5,3.5,14.8,20.08
20.1,28,10.4,73,0,4.5,3.5,14.8,21.39
21.9,29,11.6,67,0,4.2,6.3,20.6,19.45
21.9,29,11.6,67,0,4.2,6.3,20.6,20.93
23.2,30,14.2,65,0,4.2,3.5,13,64.27
23.2,30,14.2,65,0,4.2,3.5,13,30.02
22.6,31.3,14,68,0,4.3,4.4,16.5,18
22.6,31.3,14,68,0,4.3,4.4,16.5,13.38
24,32.6,14.6,58,0,4.3,6.5,18.3,22.12
24,32.6,14.6,58,0,4.3,6.5,18.3,16.12
25.4,33,15.6,61,0,4.7,3.7,13,20.55
25.4,33,15.6,61,0,4.7,3.7,13,16.56
27.1,34.7,19.9,66,0,5.1,3.3,11.1,16.39
27.1,34.7,19.9,66,0,5.1,3.3,11.1,16.71
25.9,35,17,59,0,5.5,5,18.3,22.7
25.9,35,17,59,0,5.5,5,18.3,33.89
26.4,35.5,16,49,0,4.8,6.1,20.6,19.02
26.4,35.5,16,49,0,4.8,6.1,20.6,17.35
26.7,35.2,18.2,56,0,4.8,5.9,20.6,19.39
