T,TM,Tm,H,PP,VV,V,VM,Toluene
30.7,38,23,52,0,4.3,4.6,11.1,51.84
31.1,38,23,54,0,4.3,5.4,11.1,41.58
31.1,38,23,54,0,4.3,5.4,11.1,51.51
31.8,39,25,63,0,3.9,7.2,16.5,102.65
31.8,39,25,63,0,3.9,7.2,16.5,31.62
32.3,40,24,48,0,4.7,5.4,14.8,0
32.3,40,24,48,0,4.7,5.4,14.8,17.97
31.7,40,24,47,0,4.3,3.7,14.8,12.04
31.7,40,24,47,0,4.3,3.7,14.8,8.87
32.3,40,23,46,0,4.3,5.4,13,12.85
32.3,40,23,46,0,4.3,5.4,13,5.08
31.9,39,24.5,53,0,4.2,3.9,9.4,3.45
31.9,39,24.5,53,0,4.2,3.9,9.4,72.61
30.9,40,24,52,0,4.5,3.5,11.1,17.42
30.9,40,24,52,0,4.5,3.5,11.1,11.1
30.5,40,24,50,0,4.3,3.9,11.1,10.25
30.5,40,24,50,0,4.3,3.9,11.1,4.5
31.3,40,23,49,0,4.2,1.3,5.4,29.668
31.3,40,23,49,0,4.2,1.3,5.4,105.07
31.1,39,22.3,51,0,4.5,3.5,13,60.82
31.1,39,22.3,51,0,4.5,3.5,13,93.71
30.3,39,23.4,55,0,4.2,1.9,7.6,55.93
30.3,39,23.4,55,0,4.2,1.9,7.6,60.02
27.4,38,21,53,0,4.2,2.2,9.4,52.49
27.4,38,21,53,0,4.2,2.2,9.4,20.72
27.7,38,20.9,55,0,4,2.2,11.1,59.8035
27.7,38,20.9,55,0,4,2.2,11.1,59.8035
28.6,37,20,44,0,4.5,6.3,22.2,59.8035
28.6,37,20,44,0,4.5,6.3,22.2,59.8035
24.9,32,19.8,50,0,4.8,10.9,16.5,59.8035
24.9,32,19.8,50,0,4.8,10.9,16.5,59.8035
26.7,34,19.9,55,0,4.3,6.5,18.3,59.8035
26.7,34,19.9,55,0,4.3,6.5,18.3,59.8035
27.9,36,21,52,0,4.5,5,13,59.8035
27.9,36,21,52,0,4.5,5,13,59.8035
28.2,36,21,50,0,4.5,3.5,11.1,59.8035
28.2,36,21,50,0,4.5,3.5,11.1,59.8035
27.1,36,19.3,44,0,4.3,4.4,14.8,59.8035
27.1,36,19.3,44,0,4.3,4.4,14.8,59.8035
25.4,35,17,44,0,3.9,3.1,9.4,59.8035
25.4,35,17,44,0,3.9,3.1,9.4,59.8035
26.7,36,11.5,49,0,4,2,7.6,59.8035
26.7,36,11.5,49,0,4,2,7.6,59.8035
27.5,38,19.8,49,0,4.3,2.4,9.4,59.8035
27.5,38,19.8,49,0,4.3,2.4,9.4,59.8035
27.5,37,17,42,0,4.3,3.7,9.4,59.8035
27.5,37,17,42,0,4.3,3.7,9.4,59.8035
26.7,36,16.8,50,0,4.3,4.1,9.4,59.8035
26.7,36,16.8,50,0,4.3,4.1,9.4,59.8035
23.8,33.3,18,42,0,4.3,7.8,14.8,59.8035
23.8,33.3,18,42,0,4.3,7.8,14.8,59.8035
24.8,34,17.8,39,0,4.5,7,13,59.8035
24.8,34,17.8,39,0,4.5,7,13,59.8035
26.7,34,18.9,38,0,4.5,7.4,14.8,59.8035
26.7,34,18.9,38,0,4.5,7.4,14.8,59.8035
27.6,34,21,47,0,3.5,5.6,14.8,59.8035
27.6,34,21,47,0,3.5,5.6,14.8,59.8035
25.8,34,17,40,0,4,7,14.8,59.8035
25.8,34,17,40,0,4,7,14.8,59.8035
20.5,29,13,35,0,4.5,5,14.8,59.8035
20.5,29,13,35,0,4.5,5,14.8,59.8035
24,34,16,48,0,4.2,4.6,13,59.8035
24,34,16,48,0,4.2,4.6,13,59.8035
21.8,32,15,42,0,4.2,6.3,14.8,59.8035
21.8,32,15,42,0,4.2,6.3,14.8,59.8035
21.5,31,13,41,0,4.3,6.3,18.3,59.8035
21.5,31,13,41,0,4.3,6.3,18.3,59.8035
23.4,35,14,46,0,4.3,4.1,11.1,59.8035
23.4,35,14,46,0,4.3,4.1,11.1,59.8035
24,34,16,41,0,4.3,4.4,11.1,59.8035
24,34,16,41,0,4.3,4.4,11.1,59.8035
25.3,34,15,45,0,4.3,3,11.1,59.8035
25.3,34,15,45,0,4.3,3,11.1,59.8035
17.4,27,10,41,0,4.7,7.4,14.8,59.8035
17.4,27,10,41,0,4.7,7.4,14.8,59.8035
16.9,26.4,10,40,0,4.2,10.7,22.2,59.8035
16.9,26.4,10,40,0,4.2,10.7,22.2,59.8035
17.4,26.5,11,36,0,4.5,9.4,22.2,59.8035
17.4,26.5,11,36,0,4.5,9.4,22.2,59.8035
16.9,28,11,48,0,4.3,5.7,12.1,59.8035
16.9,28,11,48,0,4.3,5.7,12.1,59.8035
18.3,28,8,39,0,4.2,5,9.4,59.8035
18.3,28,8,39,0,4.2,5,9.4,59.8035
18.2,27,10.7,44,0,4.3,8.1,14.8,59.8035
18.2,27,10.7,44,0,4.3,8.1,14.8,59.8035
17.9,25,10.5,39,0,4.2,10.9,20.6,59.8035
17.9,25,10.5,39,0,4.2,10.9,20.6,59.8035
18.4,28.2,11,37,0,4.5,7.8,16.5,59.8035
18.4,28.2,11,37,0,4.5,7.8,16.5,59.8035
20.8,30,11.9,37,0,4.5,5.2,13,59.8035
20.8,30,11.9,37,0,4.5,5.2,13,59.8035
22.05,31.65,13.5,46.5,0,4.25,4.05,12.05,59.8035
22.05,31.65,13.5,46.5,0,4.25,4.05,12.05,59.8035
22.4,32,14,45,0,4.2,4.6,13,59.8035
22.4,32,14,45,0,4.2,4.6,13,59.8035
21.7,31.3,13,48,0,4.3,3.5,11.1,59.8035
21.7,31.3,13,48,0,4.3,3.5,11.1,59.8035
21,31.3,13,55,0,3.9,3.9,13,59.8035
21,31.3,13,55,0,3.9,3.9,13,59.8035
22.2,32,14.6,52,0,4.3,5.7,9.4,59.8035
22.2,32,14.6,52,0,4.3,5.7,9.4,59.8035
22.2,31,14,47,0,4.2,4.4,11.1,59.8035
22.2,31,14,47,0,4.2,4.4,11.1,59.8035
20,29.7,12,52,0,4.2,4.8,16.5,59.8035
20,29.7,12,52,0,4.2,4.8,16.5,59.8035
21.4,30,12.9,54,0,4.2,4.8,11.1,59.8035
21.4,30,12.9,54,0,4.2,4.8,11.1,59.8035
20.2,28,13,49,0,4.5,7,14.8,59.8035
20.2,28,13,49,0,4.5,7,14.8,59.8035
19.3,29,10.4,54,0,4,4.3,11.1,59.8035
19.3,29,10.4,54,0,4,4.3,11.1,59.8035
19.1,27,10,52,0,3.7,5,13,59.8035
19.1,27,10,52,0,3.7,5,13,59.8035
18.6,27,11,47,0,4,6.1,13,59.8035
18.6,27,11,47,0,4,6.1,13,59.8035
17.6,26.5,10,44,0,4,5.6,18.3,59.8035
17.6,26.5,10,44,0,4,5.6,18.3,59.8035
18.4,29,7.5,44,0,4.3,2.6,9.4,59.8035
18.4,29,7.5,44,0,4.3,2.6,9.4,59.8035
19.6,29,8,48,0,4,3,11.1,59.8035
19.6,29,8,48,0,4,3,11.1,59.8035
21.5,29.5,12.4,65,0,4.2,4.1,13,59.8035
21.5,29.5,12.4,65,0,4.2,4.1,13,59.8035
23.1,31,15.5,59,0,4,4.6,14.8,59.8035
