T,TM,Tm,H,PP,VV,V,VM,NO
26.3,31,20.8,71,0,4.3,5.6,14.8,8.24
26.3,31,20.9,68,0,4.3,4.6,14.8,9.63
26.3,31,20.9,68,0,4.3,4.6,14.8,6.21
25.9,32,21,70,0,4.8,5.7,13,9
25.9,32,21,70,0,4.8,5.7,13,8.31
26.1,33,20.2,69,0,4.7,4.4,18.3,6.36
26.1,33,20.2,69,0,4.7,4.4,18.3,10.32
26,33,19.7,67,0,5.5,3.7,11.1,7.12
26,33,19.7,67,0,5.5,3.7,11.1,10.37
26.4,32.8,21,67,0,4.8,3.1,14.8,12.45
26.4,32.8,21,67,0,4.8,3.1,14.8,7.92
27.3,32,21.8,71,0,5.1,7.8,14.8,5.26
27.3,32,21.8,71,0,5.1,7.8,14.8,8.96
26.7,32,22.1,72,0,4.8,6.5,18.3,11.02
26.7,32,22.1,72,0,4.8,6.5,18.3,9.83
26.2,32,21.6,74,0,4.8,5.6,14.8,5.84
26.2,32,21.6,74,0,4.8,5.6,14.8,6.52
26.9,32.7,21.2,73,0,4.5,6.1,13,10.22
26.9,32.7,21.2,73,0,4.5,6.1,13,6.61
25.9,32.3,21.6,72,0,5.3,6.5,16.5,8.1
25.9,32.3,21.6,72,0,5.3,6.5,16.5,5.6
26.7,31.6,20.8,75,0,4.3,8,20.6,8.99
26.7,31.6,20.8,75,0,4.3,8,20.6,4.06
27.8,32.6,22.5,73,0,5.1,7.2,24.1,4.99
27.8,32.6,22.5,73,0,5.1,7.2,24.1,6.81
28.4,33,23.3,76,0,5.1,7.8,18.3,8.44
28.4,33,23.3,76,0,5.1,7.8,18.3,5.37
28.4,33.8,23.7,76,0,5.5,8.3,20.6,8.91
28.4,33.8,23.7,76,0,5.5,8.3,20.6,7.22
28.7,33.4,23.1,72,0,6.3,11.1,22.2,4.59
28.7,33.4,23.1,72,0,6.3,11.1,22.2,5.71
28.6,32.8,24,70,0,6.3,11.9,24.1,6.31
28.6,32.8,24,70,0,6.3,11.9,24.1,6.25
28.4,32.3,23,74,0,6.1,10.6,18.3,8.53
28.4,32.3,23,74,0,6.1,10.6,18.3,6.95
28.7,32.5,23.8,70,0,5.5,9.1,18.3,6.79
28.7,32.5,23.8,70,0,5.5,9.1,18.3,6.71
28.6,33.3,23.7,69,0,6,6.9,18.3,4.94
28.6,33.3,23.7,69,0,6,6.9,18.3,5.84
28.2,33,23.1,66,0,5.8,8.5,22.2,6.02
28.2,33,23.1,66,0,5.8,8.5,22.2,5.03
29.2,33.3,22.6,65,0,5.5,5.4,14.8,4.82
29.2,33.3,22.6,65,0,5.5,5.4,14.8,4.2
29.3,33.3,23.4,64,0,5.1,6.1,14.8,3.22
29.3,33.3,23.4,64,0,5.1,6.1,14.8,3.79
28.7,34,22.6,69,0,4.7,6.1,16.5,3.48
28.7,34,22.6,69,0,4.7,6.1,16.5,2.71
29.7,35.3,24.2,73,0,6.1,11.3,22.2,7.1
29.7,35.3,24.2,73,0,6.1,11.3,22.2,5.91
29.6,35.3,24.5,71,0,6,9.6,22.2,4.57
29.6,35.3,24.5,71,0,6,9.6,22.2,5.29
29.4,35,24.2,69,0,6.1,8.3,22.2,5.95
29.4,35,24.2,69,0,6.1,8.3,22.2,6.62
30,37,22.5,63,0,6.3,8.5,18.3,5.66
30,37,22.5,63,0,6.3,8.5,18.3,5.8
30.7,38,24.1,69,0,6.6,10.2,18.3,6.48
30.7,38,24.1,69,0,6.6,10.2,18.3,5.87
31.6,39,24.4,62,0,6.3,10.2,18.3,4.99
31.6,39,24.4,62,0,6.3,10.2,18.3,6
29.2,34.6,23.8,72,0,6,8.9,20.6,4.86
29.2,34.6,23.8,72,0,6,8.9,20.6,8.66
29.1,34.1,24.2,69,0,6.1,9.8,18.3,9.05
29.1,34.1,24.2,69,0,6.1,9.8,18.3,7.06
29.1,33.9,23,65,0,6,9.4,18.3,7.01
29.1,33.9,23,65,0,6,9.4,18.3,7.72
29.9,35,25.1,72,0,6.8,11.7,18.3,8.74
29.9,35,25.1,72,0,6.8,11.7,18.3,6.25
30.2,35,24.8,70,0,6.3,10.4,24.1,5.19
30.2,35,24.8,70,0,6.3,10.4,24.1,4.48
30.3,35.4,25.2,70,0,6.1,9.1,18.3,5.06
30.3,35.4,25.2,70,0,6.1,9.1,18.3,6.08
30.6,36,25.2,70,0,6.6,11.5,20.6,7.47
30.6,36,25.2,70,0,6.6,11.5,20.6,7.4
30.9,36.4,26.4,74,0,6.3,12,25.9,9.49
30.9,36.4,26.4,74,0,6.3,12,25.9,8.16
30.7,36.2,26.4,73,0,6.6,10.9,22.2,5.25
30.7,36.2,26.4,73,0,6.6,10.9,22.2,4.76
30.5,35.3,24.8,70,0,6.6,10.2,22.2,2.65
30.5,35.3,24.8,70,0,6.6,10.2,22.2,2.51
32.3,38,27.2,70,0,6.3,12.6,18.3,3.63
32.3,38,27.2,70,0,6.3,12.6,18.3,3.48
32.2,38.8,28,69,0,6,14.4,22.2,5.62
32.2,38.8,28,69,0,6,14.4,22.2,7.92
31.9,39.2,27.7,69,0,6.6,11.7,18.3,8.13
31.9,39.2,27.7,69,0,6.6,11.7,18.3,6.56
31.2,36.3,27,70,0,6.8,11.5,24.1,6.85
31.2,36.3,27,70,0,6.8,11.5,24.1,5.79
31.7,36.1,26.2,70,0,7.1,14.1,24.1,5.41
31.7,36.1,26.2,70,0,7.1,14.1,24.1,5.49
32.3,37.5,27.4,69,0,6.8,15,25.9,5.86
32.3,37.5,27.4,69,0,6.8,15,25.9,5.01
33,38.5,28.5,64,0,6.6,16.7,24.1,5.04
33,38.5,28.5,64,0,6.6,16.7,24.1,5.44
31.7,38.6,27.7,70,0,6.3,12.4,22.2,5.54
31.7,38.6,27.7,70,0,6.3,12.4,22.2,8.06
31.4,37.2,26.8,72,0,6.8,11.7,20.6,5.93
31.4,37.2,26.8,72,0,6.8,11.7,20.6,6.11
32.3,39,26.7,63,0,6.9,15.2,22.2,4.02
32.3,39,26.7,63,0,6.9,15.2,22.2,3.8
32.2,39.4,26.7,65,0,6.6,14.4,25.9,3.28
32.2,39.4,26.7,65,0,6.6,14.4,25.9,4.28
32.7,38.8,27.7,67,0,6.9,13.9,24.1,6.14
32.7,38.8,27.7,67,0,6.9,13.9,24.1,6.95
31.9,37.2,27.8,66,0,6.4,12.8,22.2,4.81
31.9,37.2,27.8,66,0,6.4,12.8,22.2,4.3
32.2,37.2,27.1,67,0,6.6,9.8,22.2,3.63
32.2,37.2,27.1,67,0,6.6,9.8,22.2,4.11
32.1,37.5,28.6,69,0,6.4,9.8,22.2,5.81
32.1,37.5,28.6,69,0,6.4,9.8,22.2,4.84
32.3,38,27.6,65,0,6.8,12.4,27.8,4.72
32.3,38,27.6,65,0,6.8,12.4,27.8,4.66
32.3,38.3,27.3,66,0,6.8,11.1,24.1,3.66
32.3,38.3,27.3,66,0,6.8,11.1,24.1,4.53
32.2,37.9,27,65,0,7.6,10.7,22.2,4.89
32.2,37.9,27,65,0,7.6,10.7,22.2,4
28.5,33,23.4,71,0,5.3,16.7,25.9,4.53
28.5,33,23.4,71,0,5.3,16.7,25.9,4.42
31.1,35.2,25,65,0,6.6,13,22.2,4.73
31.1,35.2,25,65,0,6.6,13,22.2,4.56
32.7,38.9,26.9,64,0,6.4,11.9,18.3,4.56
32.7,38.9,26.9,64,0,6.4,11.9,18.3,4.56
34.6,41,28.1,55,0,6.6,12.8,27.8,5.895
34.6,41,28.1,55,0,6.6,12.8,27.8,5.895
33.9,41.2,29,57,0,6.3,11.9,22.2,5.895
33.9,41.2,29,57,0,6.3,11.9,22.2,5.895
32.4,40.6,28,64,0,6.1,13,22.2,5.895
32.4,40.6,28,64,0,6.1,13,22.2,5.895
32.7,39,27.7,61,0,6.6,11.1,18.3,6.56
32.7,39,27.7,61,0,6.6,11.1,18.3,6.56
32.5,39,27.8,60,0,6.4,11.1,18.3,7.86
32.5,39,27.8,60,0,6.4,11.1,18.3,6.53
31.6,39.4,27.4,67,0,6.3,10.9,16.5,5.98
31.6,39.4,27.4,67,0,6.3,10.9,16.5,5.87
31.8,38,27.8,66,0,6.3,10.2,18.3,4.25
31.8,38,27.8,66,0,6.3,10.2,18.3,3.55
29.6,36.8,22.4,78,0,5.5,8.3,18.3,3.54
29.6,36.8,22.4,78,0,5.5,8.3,18.3,5.01
29,36,24.2,81,0,5,8.7,18.3,2.98
29,36,24.2,81,0,5,8.7,18.3,7.28
31.2,36,25.5,71,0,6.6,10.9,18.3,6.76
31.2,36,25.5,71,0,6.6,10.9,18.3,9.768
33.1,38,28.7,53,0,6.8,12.6,22.2,12.32
33.1,38,28.7,53,0,6.8,12.6,22.2,9.37
33.2,38,28,53,0,6.6,13.7,24.1,6.84
33.2,38,28,53,0,6.6,13.7,24.1,13.55
33,38.3,28.5,50,0,6.6,14.6,24.1,10.32
33,38.3,28.5,50,0,6.6,14.6,24.1,9.61
30.7,35.7,25,69,0,6.1,10.7,22.2,5.34
30.7,35.7,25,69,0,6.1,10.7,22.2,5.25
29.3,36.5,23.5,73,0,6.3,8.3,14.8,8.97
29.3,36.5,23.5,73,0,6.3,8.3,14.8,8.94
29.3,35,25.2,74,0,6.6,9.4,22.2,6.61
29.3,35,25.2,74,0,6.6,9.4,22.2,7.61
28.2,34.4,24,74,0,5.3,12,27.8,7.37
28.2,34.4,24,74,0,5.3,12,27.8,8.09
28.1,33,23.1,76,0,5,8.7,27.8,6.37
28.1,33,23.1,76,0,5,8.7,27.8,6.36
28.8,33,23.6,74,0,6.4,7.2,20.6,6.48
28.8,33,23.6,74,0,6.4,7.2,20.6,6.12
31.4,35,26.2,59,0,6.6,15.6,22.2,7.51
31.4,35,26.2,59,0,6.6,15.6,22.2,5.68
31.1,36,27.7,64,0,5.6,13,24.1,5.24
31.1,36,27.7,64,0,5.6,13,24.1,4.3
31.2,36.5,27.4,64,0,6.4,10.7,22.2,5.18
31.2,36.5,27.4,64,0,6.4,10.7,22.2,9.66
29.3,36.8,24.5,73,0,5.6,9.3,27.8,8.36
29.3,36.8,24.5,73,0,5.6,9.3,27.8,17.68
30.9,34,24.4,63,0,6.3,13.9,24.1,7.13
30.9,34,24.4,63,0,6.3,13.9,24.1,6.9
32,36,27.2,54,0,6.8,16.9,27.8,3.31
32,36,27.2,54,0,6.8,16.9,27.8,3.18
31.9,37.3,27.1,59,0,6.3,11.7,22.2,3.14
31.9,37.3,27.1,59,0,6.3,11.7,22.2,3.23
31.7,37.7,27.6,60,0,6.3,12.6,18.3,4.12
31.7,37.7,27.6,60,0,6.3,12.6,18.3,5.83
31.1,37.5,26.8,66,0,5.8,11.7,18.3,6.85
31.1,37.5,26.8,66,0,5.8,11.7,18.3,6.96
28.6,35.5,24,77,0,5.5,5.9,14.8,5.6
28.6,35.5,24,77,0,5.5,5.9,14.8,10.13
29.3,33,23.6,71,0,6,9.8,18.3,9.46
29.3,33,23.6,71,0,6,9.8,18.3,9.17
29.3,32.9,25.4,68,0,5.3,12,22.2,9.51
29.3,32.9,25.4,68,0,5.3,12,22.2,8.96
29.2,35.1,25.7,73,0,6.8,12,22.2,4.58
29.2,35.1,25.7,73,0,6.8,12,22.2,5.77
29.6,33.7,24.7,71,0,6.3,9.1,18.3,5.02
29.6,33.7,24.7,71,0,6.3,9.1,18.3,5.39
29.7,34.2,25.8,76,0,5.8,10.4,18.3,5.49
29.7,34.2,25.8,76,0,5.8,10.4,18.3,5.21
29.6,34.5,23.6,69,0,6.4,10.7,24.1,5.01
29.6,34.5,23.6,69,0,6.4,10.7,24.1,6.39
29.7,34,26.7,63,0,5.8,13.1,24.1,4.57
29.7,34,26.7,63,0,5.8,13.1,24.1,8.5
30.5,34.4,25.8,54,0,6.3,13.7,22.2,10.18
30.5,34.4,25.8,54,0,6.3,13.7,22.2,6.08
31.3,35.5,26.1,51,0,6.6,16.1,27.8,5.51
31.3,35.5,26.1,51,0,6.6,16.1,27.8,2.81
32,37.1,27.6,56,0,6.6,10.7,22.2,2.09
32,37.1,27.6,56,0,6.6,10.7,22.2,3.88
31.6,37,26.9,62,0,6.1,12.2,22.2,4.64
31.6,37,26.9,62,0,6.1,12.2,22.2,5.09
30.7,37.9,26.6,66,0,6.3,12,22.2,6.36
30.7,37.9,26.6,66,0,6.3,12,22.2,7.76
30.6,36.8,26,66,0,6,13.5,22.2,7.65
30.6,36.8,26,66,0,6,13.5,22.2,6.36
31.6,37,25.5,61,0,6.3,12.4,18.3,6.4
31.6,37,25.5,61,0,6.3,12.4,18.3,6.85
32.6,37.4,27.4,51,0,6.8,12.4,22.2,7.66
32.6,37.4,27.4,51,0,6.8,12.4,22.2,6.59
31.9,38.4,27.4,58,0,7.1,13.7,24.1,5.93
31.9,38.4,27.4,58,0,7.1,13.7,24.1,9.64
32,38.3,26.8,63,0,6.3,10.9,20.6,9.5
32,38.3,26.8,63,0,6.3,10.9,20.6,8.04
31.7,38.4,26.8,67,0,6.1,12,22.2,5.16
31.7,38.4,26.8,67,0,6.1,12,22.2,8.34
30.1,38.3,26.6,70,0,5.8,9.8,18.3,4.37
30.1,38.3,26.6,70,0,5.8,9.8,18.3,4.67
28.6,34.6,25,77,0,4.7,6.9,13,5.06
28.6,34.6,25,77,0,4.7,6.9,13,4.52
28.1,33,24.6,80,7.57,5.1,9.6,27.8,8.64
28.1,33,24.6,80,7.57,5.1,9.6,27.8,8.78
28.3,35,23.3,81,7.57,6.3,10.6,14.8,5.14
28.3,35,23.3,81,7.57,6.3,10.6,14.8,4.36
28.9,35,24,78,11.94,5.6,9.6,22.2,2.96
28.9,35,24,78,11.94,5.6,9.6,22.2,4.38
29.4,36.1,23.5,75,25.91,5.1,8.1,27.8,2.81
29.4,36.1,23.5,75,25.91,5.1,8.1,27.8,2.95
29.1,35.6,25,75,0,5.3,10.4,22.2,11.67
29.1,35.6,25,75,0,5.3,10.4,22.2,9.32
30.6,36,26,62,0,6.8,11.3,18.3,6.26
30.6,36,26,62,0,6.8,11.3,18.3,8.64
30.8,36,25.2,64,0,6.6,9.6,14.8,14.17
30.8,36,25.2,64,0,6.6,9.6,14.8,13.67
30.2,36.5,26,70,0,5.5,8.7,18.3,13.8
30.2,36.5,26,70,0,5.5,8.7,18.3,14.65
29.3,32,25.8,74,0,6.1,7,18.3,13.52
29.3,32,25.8,74,0,6.1,7,18.3,13.79
28,32.3,25,81,0,5.1,7.8,18.3,13.75
28,32.3,25,81,0,5.1,7.8,18.3,13.61
29.2,35,24,76,0,5.1,9.4,22.2,13.636
29.2,35,24,76,0,5.1,9.4,22.2,13.51
30.7,37,26.7,68,0,6.6,9.8,18.3,11.91
30.7,37,26.7,68,0,6.6,9.8,18.3,6.59
27.8,35.5,25,79,0,5.3,5.7,13,6.54
27.8,35.5,25,79,0,5.3,5.7,13,6.6
25.8,28,25,86,0,5.5,11.1,14.8,6.64
25.8,28,25,86,0,5.5,11.1,14.8,6.58
31,35.5,26.2,64,0,6.3,13.1,22.2,6.56
31,35.5,26.2,64,0,6.3,13.1,22.2,6.6
31.2,37,26,68,0,6,11.3,18.3,6.6
31.2,37,26,68,0,6,11.3,18.3,6.62
30,35.9,25.4,77,0,4.8,9.3,14.8,6.57
30,35.9,25.4,77,0,4.8,9.3,14.8,6.62
30.7,35,25.4,70,0,5.5,9.3,18.3,6.61
30.7,35,25.4,70,0,5.5,9.3,18.3,6.69
29.9,35,26,76,0,6.3,9.6,14.8,6.67
29.9,35,26,76,0,6.3,9.6,14.8,6.62
29.7,34.6,25.8,74,0,6.4,9.8,16.5,6.64
29.7,34.6,25.8,74,0,6.4,9.8,16.5,6.56
30.7,36,26.8,71,0,5.1,7.8,14.8,6.62
30.7,36,26.8,71,0,5.1,7.8,14.8,6.61
30.8,37,26.6,68,0,6.1,10.9,22.2,6.61
30.8,37,26.6,68,0,6.1,10.9,22.2,6.65
30.2,36.8,26,68,0,6.8,10.7,18.3,6.37
30.2,36.8,26,68,0,6.8,10.7,18.3,6.84
30.2,36.4,26.4,70,0,5,7.6,18.3,4.37
30.2,36.4,26.4,70,0,5,7.6,18.3,6.03
29.6,34.5,25.4,68,0,4.8,6.5,22.2,3.7
29.6,34.5,25.4,68,0,4.8,6.5,22.2,6.02
28.8,34.2,24.3,66,0,5.1,7.2,18.3,3.84
28.8,34.2,24.3,66,0,5.1,7.2,18.3,5.25
28.7,35,23.6,67,0,5,5.6,16.5,4.93
28.7,35,23.6,67,0,5,5.6,16.5,3.76
28.7,34.9,24,68,0,4.7,4.8,16.5,3.89
28.7,34.9,24,68,0,4.7,4.8,16.5,5.59
28.9,34.6,23.7,58,0,4.5,4.8,14.8,5.05
28.9,34.6,23.7,58,0,4.5,4.8,14.8,5.35
28,34.9,22,54,0,5.3,4.6,14.8,4.7
28,34.9,22,54,0,5.3,4.6,14.8,4.79
28.7,35,22.4,55,0,5.3,6.3,16.5,3.91
28.7,35,22.4,55,0,5.3,6.3,16.5,4.28
28.4,35,23.4,57,0,4.8,5.4,14.8,3.48
28.4,35,23.4,57,0,4.8,5.4,14.8,5.95
28.1,33,24,79,0,5,5.9,16.5,6.4
28.1,33,24,79,0,5,5.9,16.5,4.61
27.6,33.4,24.1,82,0,4.8,7.6,22.2,4.09
27.6,33.4,24.1,82,0,4.8,7.6,22.2,4.05
26.4,33.3,23.3,91,0,3.2,2.8,18.3,4.15
26.4,33.3,23.3,91,0,3.2,2.8,18.3,5.05
27.1,30.3,23.1,86,0,4.2,7.2,18.3,4.2
27.1,30.3,23.1,86,0,4.2,7.2,18.3,3.97
27.8,34.5,23.6,76,0,3.4,5.6,20.6,4.79
27.8,34.5,23.6,76,0,3.4,5.6,20.6,6.16
26.8,33,22,66,0,3.7,8.5,16.5,4.4
26.8,33,22,66,0,3.7,8.5,16.5,6.37
26.2,31.7,20.4,58,0,4.7,6.7,22.2,6.83
26.2,31.7,20.4,58,0,4.7,6.7,22.2,7.76
27.5,32,22.3,66,0,5.65,7.6,18.5,5.66
27.5,32,22.3,66,0,5.65,7.6,18.5,6.22
28.8,32.3,24.2,74,0,6.6,8.5,14.8,4.26
28.8,32.3,24.2,74,0,6.6,8.5,14.8,4.68
28.6,33,23.7,74,0,6.6,5.9,14.8,8.83
28.6,33,23.7,74,0,6.6,5.9,14.8,9.6
28.4,33,22.9,77,0,4.5,10.4,20.6,5.4
28.4,33,22.9,77,0,4.5,10.4,20.6,2.28
26.2,31,22.2,72,0,4.7,7.2,16.5,3.77
26.2,31,22.2,72,0,4.7,7.2,16.5,6.39
26.4,31,22,72,0,4.5,7.8,18.3,8.38
26.4,31,22,72,0,4.5,7.8,18.3,4.67
26,31.5,21,70,0,4.3,7.4,18.3,3.5
26,31.5,21,70,0,4.3,7.4,18.3,2.46
25.7,31.8,20.4,66,0,4.2,5,14.8,4.7525
25.7,31.8,20.4,66,0,4.2,5,14.8,4.7525
24.8,31.7,19,66,0,4.2,4.1,16.5,4.6355
24.8,31.7,19,66,0,4.2,4.1,16.5,4.6355
24.5,32.1,19,77,0,2.9,4.6,14.8,4.6355
24.5,32.1,19,77,0,2.9,4.6,14.8,4.6355
24.6,30.3,22,89,0,2.4,11.5,22.2,7.336666667
24.6,30.3,22,89,0,2.4,11.5,22.2,7.336666667
25.7,30,22,85,0,3.4,12.6,27.8,7.336666667
25.7,30,22,85,0,3.4,12.6,27.8,7.336666667
25.7,29.5,21,92,0,3.2,5.6,18.3,7.336666667
25.7,29.5,21,92,0,3.2,5.6,18.3,7.336666667
25.7,31.2,21.2,82,0,3.7,4.8,14.8,7.336666667
25.7,31.2,21.2,82,0,3.7,4.8,14.8,7.336666667
25.8,30,22,79,0,4.5,5.6,14.8,7.336666667
25.8,30,22,79,0,4.5,5.6,14.8,7.336666667
25.1,30.2,20.3,67,0,4.5,5.2,18.3,7.336666667
25.1,30.2,20.3,67,0,4.5,5.2,18.3,6.17
26,29,20.3,84,0,5,10.4,18.3,9.22
26,29,20.3,84,0,5,10.4,18.3,6.62
26.2,30,21.2,82,0,5.5,6.9,16.5,7.54
26.2,30,21.2,82,0,5.5,6.9,16.5,7.9
26.7,31,22.1,79,0,4.7,8.1,18.3,6.73
26.7,31,22.1,79,0,4.7,8.1,18.3,6.61
25.4,30,20.3,73,0,4.3,8.7,22.2,7.68
25.4,30,20.3,73,0,4.3,8.7,22.2,5.08
25.8,30.3,21.7,77,0,4,8.3,22.2,6.68
25.8,30.3,21.7,77,0,4,8.3,22.2,6.57
26.1,31,21.6,76,0,4.3,5.2,14.8,5.6
26.1,31,21.6,76,0,4.3,5.2,14.8,5.8
24.4,29.3,18.7,68,0,4.7,5.7,18.3,6.86
24.4,29.3,18.7,68,0,4.7,5.7,18.3,6.29
25,29.8,19,73,0,4.2,8.1,20.6,6.35
25,29.8,19,73,0,4.2,8.1,20.6,3.52
26,30.5,21.2,74,0,5.3,9.6,22.2,4.78
26,30.5,21.2,74,0,5.3,9.6,22.2,5.57
25.5,30.15,20.1,73.5,0,4.75,8.85,21.4,4.96
25.5,30.15,20.1,73.5,0,4.75,8.85,21.4,6.76
25.7,31,21.3,73,0,4.8,10.4,22.2,3.71
25.7,31,21.3,73,0,4.8,10.4,22.2,6.34
25.8,31,21,74,0,5.5,7,14.8,5.71
25.8,31,21,74,0,5.5,7,14.8,5.09
24.9,30.3,19.7,70,0,5.6,5.9,11.1,5.66
24.9,30.3,19.7,70,0,5.6,5.9,11.1,3.93
25.5,31,19.7,65,0,4.8,8,18.3,4.33
25.5,31,19.7,65,0,4.8,8,18.3,4.98
24.2,30.5,18.4,67,0,5.6,6.3,16.5,5.13
24.2,30.5,18.4,67,0,5.6,6.3,16.5,6.95
24.2,30,18.8,67,0,5.5,5.6,14.8,6.33
24.2,30,18.8,67,0,5.5,5.6,14.8,3.15
25.1,30.8,20.1,70,0,4,5.7,13,8.63
25.1,30.8,20.1,70,0,4,5.7,13,8.83
25.1,30.3,19.7,67,0,5.1,5.9,18.3,7.52
25.1,30.3,19.7,67,0,5.1,5.9,18.3,8.24
25.1,30.3,21,72,0,4.5,6.3,14.8,7.25
25.1,30.3,21,72,0,4.5,6.3,14.8,7.25
25.9,30,19.3,64,0,5.5,12,22.2,9
25.9,30,19.3,64,0,5.5,12,22.2,8.97
26.4,30.3,22.4,71,0,4.7,10.7,25.9,8.27
26.4,30.3,22.4,71,0,4.7,10.7,25.9,8.11
27.1,30,23,71,0,5.1,13.5,22.2,8.82
27.1,30,23,71,0,5.1,13.5,22.2,5.56
26.6,30.5,22,68,0,4.8,10.7,18.3,6.57
26.6,30.5,22,68,0,4.8,10.7,18.3,5.27
26.7,30.8,24.4,78,0,4.7,8,14.8,6.44
26.7,30.8,24.4,78,0,4.7,8,14.8,6.53
26.3,30.3,23.3,86,0,5.5,8.1,18.3,6.43
26.3,30.3,23.3,86,0,5.5,8.1,18.3,10.01
25.3,30.7,21,73,0,5.1,5.6,11.1,9.26
25.3,30.7,21,73,0,5.1,5.6,11.1,6.18
25.2,31,19.7,70,0,5.3,5.7,13,4.63
25.2,31,19.7,70,0,5.3,5.7,13,5.82
25.4,31,19.7,71,0,5.1,5.6,14.8,6.73
25.4,31,19.7,71,0,5.1,5.6,14.8,8.76
25.6,30.3,20.4,70,0,5,5,14.8,7.78
25.6,30.3,20.4,70,0,5,5,14.8,6.67
25.7,33,18.4,60,0,5.1,6.3,14.8,5.22
25.7,33,18.4,60,0,5.1,6.3,14.8,5.92
25.7,33.5,18.8,60,0,4.8,5.2,18.3,7.78
25.7,33.5,18.8,60,0,4.8,5.2,18.3,7.36
24.9,31.8,19.6,63,0,5.1,4.6,14.8,4.15
24.9,31.8,19.6,63,0,5.1,4.6,14.8,2.74
27.3,31,21.4,68,0,6.4,9.1,18.3,1.87
27.3,31,21.4,68,0,6.4,9.1,18.3,2.82
27.8,32,23,67,0,6,11.5,22.2,2.89
27.8,32,23,67,0,6,11.5,22.2,2.25
27,32,22,64,0,6.3,9.6,22.2,2.43
27,32,22,64,0,6.3,9.6,22.2,2.78
26.1,32,19.9,71,0,5,5.2,18.3,3.46
26.1,32,19.9,71,0,5,5.2,18.3,2.76
27.7,36,20,69,0,5.3,6.3,18.3,3.78
27.7,36,20,69,0,5.3,6.3,18.3,4.09
27.9,35.5,21.4,69,0,5.6,7.2,14.8,5.83
27.9,35.5,21.4,69,0,5.6,7.2,14.8,4.37
26.3,32.3,20.5,74,0,5.8,7,14.8,3.86
26.3,32.3,20.5,74,0,5.8,7,14.8,2.53
25.8,32.1,21.7,79,0,5,5.9,14.8,2.04
25.8,32.1,21.7,79,0,5,5.9,14.8,2.21
26.5,31,21.6,75,0,5.1,6.3,14.8,2.54
26.5,31,21.6,75,0,5.1,6.3,14.8,2.76
26.3,32,20.1,72,0,4.5,6.7,18.3,4.38
26.3,32,20.1,72,0,4.5,6.7,18.3,5.1
26.8,32,21.2,71,0,5.1,8.3,18.3,3.65
26.8,32,21.2,71,0,5.1,8.3,18.3,3.73
27.9,33,20.9,71,0,5.3,8.3,18.3,4.25
27.9,33,20.9,71,0,5.3,8.3,18.3,3.94
29.8,34.6,25.8,77,0,6.1,14.1,27.8,4.82
29.8,34.6,25.8,77,0,6.1,14.1,27.8,5.71
29.4,34,25.7,76,0,5.8,12,22.2,4.8
29.4,34,25.7,76,0,5.8,12,22.2,3.34
29.7,33.6,25.6,75,0,6.3,12,20.6,4.42
29.7,33.6,25.6,75,0,6.3,12,20.6,2.81
29.9,35.3,25.8,75,0,6.4,11.3,22.2,2.95
29.9,35.3,25.8,75,0,6.4,11.3,22.2,2.96
29.6,34.6,26.5,77,0,6.4,10,22.2,2.54
29.6,34.6,26.5,77,0,6.4,10,22.2,2.71
29.6,33.9,25.1,71,0,7.2,8.7,18.3,3.86
29.6,33.9,25.1,71,0,7.2,8.7,18.3,3.48
29.8,35.4,24.6,74,0,5.6,12.4,22.2,4.77
29.8,35.4,24.6,74,0,5.6,12.4,22.2,3.67
30.4,36,25.7,73,0,6.1,10.6,22.2,2.29
30.4,36,25.7,73,0,6.1,10.6,22.2,3.23
30.6,36.9,25.7,72,0,5.6,11.9,22.2,4.29
30.6,36.9,25.7,72,0,5.6,11.9,22.2,4.58
28.6,34,22,68,0,5.5,8.7,14.8,4.38
28.6,34,22,68,0,5.5,8.7,14.8,2.67
28.8,34.3,23.1,65,0,5.5,7,14.8,2.3
28.8,34.3,23.1,65,0,5.5,7,14.8,1.76
29.1,34,21.6,67,0,6.3,10,18.3,2.54
29.1,34,21.6,67,0,6.3,10,18.3,2.52
30.4,35.3,25,71,0,6.1,9.4,18.3,2.28
30.4,35.3,25,71,0,6.1,9.4,18.3,2.87
30.2,35.5,24.5,70,0,6.3,8.1,22.2,2.31
30.2,35.5,24.5,70,0,6.3,8.1,22.2,2.84
30.7,37,24.7,70,0,6.3,10.2,18.3,2.39
30.7,37,24.7,70,0,6.3,10.2,18.3,2.78
31.2,37.8,25.3,69,0,6,10,22.2,3.06
31.2,37.8,25.3,69,0,6,10,22.2,2.47
31.3,38,26.2,72,0,5.3,11.7,22.2,3.13
31.3,38,26.2,72,0,5.3,11.7,22.2,3.16
31,37.5,25.7,72,0,5.8,11.1,22.2,3.34
31,37.5,25.7,72,0,5.8,11.1,22.2,4.87
31.2,36.8,26.2,71,0,5.6,11.9,22.2,5.91
31.2,36.8,26.2,71,0,5.6,11.9,22.2,4.86
30.3,35.8,25.6,74,0,6,8.1,18.3,3.3
30.3,35.8,25.6,74,0,6,8.1,18.3,6.06
29.7,35.8,24.8,75,0,6,7.6,16.5,4.89
29.7,35.8,24.8,75,0,6,7.6,16.5,3.98
30.7,36,24.7,71,0,5,9.3,14.8,4.18
30.7,36,24.7,71,0,5,9.3,14.8,4.53
32.2,38.6,27.2,71,0,4.7,14.4,20.6,5.59
32.2,38.6,27.2,71,0,4.7,14.4,20.6,4.75
