T,TM,Tm,H,PP,VV,V,VM,NO
29.9,36.5,23.4,49.5,0,4.4,4.8,12.95,5.7
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,4.55
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,5.29
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,3.11
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,3.88
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,5.05
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,5.69
32.6,41,24.9,42.5,0,4.4,8.7,17.4,4.67
32.6,41,24.9,42.5,0,4.4,8.7,17.4,15.69
32.4,41,25.1,41,0,4.5,8.5,18.3,13.12
32.4,41,25.1,41,0,4.5,8.5,18.3,2.69
32.8,41,24.7,44,0,4.3,8.9,16.5,2.73
32.8,41,24.7,44,0,4.3,8.9,16.5,3.14
34,43,24.7,43,0,4.3,9.1,18.3,6.24
34,43,24.7,43,0,4.3,9.1,18.3,8
34.2,43.5,25.85,43,0,4.15,9.25,19.45,9.94
34.2,43.5,25.85,43,0,4.15,9.25,19.45,10.68
34.4,44,27,43,0,4,9.4,20.6,11.44
34.4,44,27,43,0,4,9.4,20.6,12.3
35.7,45,26.5,29,0,4.5,5.7,13,20.42
35.7,45,26.5,29,0,4.5,5.7,13,5.31
35.5,45,24.1,26,0,4.7,6.7,14.8,14.28
35.5,45,24.1,26,0,4.7,6.7,14.8,21.23
35.6,45,27,27,0,4.7,9.6,14.8,7.56
35.6,45,27,27,0,4.7,9.6,14.8,7.14
34.5,43,27,35,0,4.7,9.3,18.3,8.05
34.5,43,27,35,0,4.7,9.3,18.3,10.44
37.3,44,27.2,24,0,4.7,10.2,18.3,9.46
37.3,44,27.2,24,0,4.7,10.2,18.3,10.89
32.9,43,27.4,49,0,3.7,7.4,16.5,2.18
32.9,43,27.4,49,0,3.7,7.4,16.5,2.96
34.4,40,25.2,48,7.11,3.9,6.1,18.3,4.12
34.4,40,25.2,48,7.11,3.9,6.1,18.3,4.23
36.5,45,27,33,0,4.3,5.9,14.8,4.26
36.5,45,27,33,0,4.3,5.9,14.8,5.27
36.3,46,28.1,42,0,4.7,15,24.1,13.71
36.3,46,28.1,42,0,4.7,15,24.1,6.67
34.9,44,28.4,51,0,4.7,13.3,22.2,5.6
34.9,44,28.4,51,0,4.7,13.3,22.2,7.02
36.1,46,29,46,0,4.5,11.9,18.3,7.25
36.1,46,29,46,0,4.5,11.9,18.3,6.36
35.9,45,29,47,0,4.7,15,22.2,6.01
35.9,45,29,47,0,4.7,15,22.2,8.05
35.2,45,28.4,50,0,4.8,15.6,24.1,6.59
35.2,45,28.4,50,0,4.8,15.6,24.1,6.86
35.6,45,28.7,50,0,4.7,12.4,22.2,7.76
35.6,45,28.7,50,0,4.7,12.4,22.2,7.41
36.3,46,28.7,38,0,4.5,12,18.3,8.56
36.3,46,28.7,38,0,4.5,12,18.3,8.21
34.7,43,29,49,0,4.5,15,27.8,8.26
34.7,43,29,49,0,4.5,15,27.8,9.63
32.8,40.4,27,56,1.015,4.2,13,29.4,8.67
32.8,40.4,27,56,1.015,4.2,13,29.4,9.35
33.6,41,26.5,48,2.03,3.5,12,31.7,8.54
33.6,41,26.5,48,2.03,3.5,12,31.7,7.53
37.6,46,30.5,33,0,4.2,11.7,50,7.59
37.6,46,30.5,33,0,4.2,11.7,50,7.34
33.4,38,30,57,0,4,10.6,22.2,7.55
33.4,38,30,57,0,4,10.6,22.2,7.15
32.3,40,29,61,0,4.5,12.2,24.1,7.99
32.3,40,29,61,0,4.5,12.2,24.1,7.45
32.4,39.3,28,64,0,4.3,13.5,29.4,7.34
32.4,39.3,28,64,0,4.3,13.5,29.4,8.68
32.1,40,27.2,64,0,4.2,14.3,27.8,8.58
32.1,40,27.2,64,0,4.2,14.3,27.8,9.15
32.3,40,27.6,62,0.25,4.2,12,24.1,8.07
32.3,40,27.6,62,0.25,4.2,12,24.1,9.23
32.7,37,28,63,0,4,8.1,14.8,8.87
32.7,37,28,63,0,4,8.1,14.8,9.01
32.8,39,27.2,60,0,4.3,10,18.3,9.56
32.8,39,27.2,60,0,4.3,10,18.3,9.43
33.4,39,27.7,61,0,4.7,11.3,18.3,8.03
33.4,39,27.7,61,0,4.7,11.3,18.3,8.11
30.1,35,25.3,78,130.05,3.7,14.8,22.2,8.91
30.1,35,25.3,78,130.05,3.7,14.8,22.2,9.74
31.2,36.5,27.1,73,0,3.5,17.2,25.9,10.55
31.2,36.5,27.1,73,0,3.5,17.2,25.9,11.48
31.4,36.8,26.9,70,0,3.7,15.6,29.4,11.55
31.4,36.8,26.9,70,0,3.7,15.6,29.4,11.49
31.8,37.4,27.5,63,0,4.3,13.9,27.8,11.47
31.8,37.4,27.5,63,0,4.3,13.9,27.8,11.3
32.1,38,27.7,61,0,4.7,16.9,24.1,10.8
32.1,38,27.7,61,0,4.7,16.9,24.1,8
31.8,38,27.5,63,0,4.7,15.4,25.9,0.64
31.8,38,27.5,63,0,4.7,15.4,25.9,0.6
30.9,36.4,28,66,0,4.3,14.1,24.1,0.65
30.9,36.4,28,66,0,4.3,14.1,24.1,0.72
31,35,28,68,2.03,4.3,11.9,18.3,0.55
31,35,28,68,2.03,4.3,11.9,18.3,0.67
32.2,37,27.7,59,0,4.7,16.5,22.2,0.55
32.2,37,27.7,59,0,4.7,16.5,22.2,0.1
