T,TM,Tm,H,PP,VV,V,VM,O3
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,22.18
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,10.12
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,59.73
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,26.89
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,27.18
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,18.67
32.6,41,24.9,42.5,0,4.4,8.7,17.4,11.83
32.6,41,24.9,42.5,0,4.4,8.7,17.4,36.71
32.4,41,25.1,41,0,4.5,8.5,18.3,81.6
32.4,41,25.1,41,0,4.5,8.5,18.3,90.54
32.8,41,24.7,44,0,4.3,8.9,16.5,69.57
32.8,41,24.7,44,0,4.3,8.9,16.5,32.26
34,43,24.7,43,0,4.3,9.1,18.3,31.44
34,43,24.7,43,0,4.3,9.1,18.3,25.7
34.2,43.5,25.85,43,0,4.15,9.25,19.45,25.9
34.2,43.5,25.85,43,0,4.15,9.25,19.45,18.89
34.4,44,27,43,0,4,9.4,20.6,18.2
34.4,44,27,43,0,4,9.4,20.6,22.35
35.7,45,26.5,29,0,4.5,5.7,13,22.84
35.7,45,26.5,29,0,4.5,5.7,13,16.26
35.5,45,24.1,26,0,4.7,6.7,14.8,25.4
35.5,45,24.1,26,0,4.7,6.7,14.8,34.42
35.6,45,27,27,0,4.7,9.6,14.8,38.83
35.6,45,27,27,0,4.7,9.6,14.8,29.05
34.5,43,27,35,0,4.7,9.3,18.3,21.58
34.5,43,27,35,0,4.7,9.3,18.3,25.5
37.3,44,27.2,24,0,4.7,10.2,18.3,12.91
37.3,44,27.2,24,0,4.7,10.2,18.3,35.61
32.9,43,27.4,49,0,3.7,7.4,16.5,12.47
32.9,43,27.4,49,0,3.7,7.4,16.5,10.74
34.4,40,25.2,48,7.11,3.9,6.1,18.3,16.01
34.4,40,25.2,48,7.11,3.9,6.1,18.3,45.64
36.5,45,27,33,0,4.3,5.9,14.8,71.85
36.5,45,27,33,0,4.3,5.9,14.8,41.19
36.3,46,28.1,42,0,4.7,15,24.1,12.88
36.3,46,28.1,42,0,4.7,15,24.1,16.67
34.9,44,28.4,51,0,4.7,13.3,22.2,25.51
34.9,44,28.4,51,0,4.7,13.3,22.2,9.56
36.1,46,29,46,0,4.5,11.9,18.3,6.32
36.1,46,29,46,0,4.5,11.9,18.3,15.27
35.9,45,29,47,0,4.7,15,22.2,38.52
35.9,45,29,47,0,4.7,15,22.2,48.22
35.2,45,28.4,50,0,4.8,15.6,24.1,44.78
35.2,45,28.4,50,0,4.8,15.6,24.1,32.65
