T,TM,Tm,H,PP,VV,V,VM,O3
27.7,31,23.7,74,0,5.6,13.1,22.2,26.92
27.2,30.4,22.3,74,0,6.6,13.7,27.8,25.37
27.2,30.4,22.3,74,0,6.6,13.7,27.8,31.6
25.8,30,21.1,70,0,4.7,12.8,25.9,34.93
25.8,30,21.1,70,0,4.7,12.8,25.9,29.95
25.8,30,20.2,70,0,4.7,10.6,18.3,34.31
25.8,30,20.2,70,0,4.7,10.6,18.3,24.25
26.3,31,21.2,71,0,4.8,11.3,24.1,18.89
26.3,31,21.2,71,0,4.8,11.3,24.1,28.14
27.3,31,21.9,70,0,5.6,13.3,20.6,28.28
27.3,31,21.9,70,0,5.6,13.3,20.6,27.87
27.4,31.1,21.7,76,0,4.7,9.4,18.3,22.44
27.4,31.1,21.7,76,0,4.7,9.4,18.3,10.75
28.1,32,22.2,77,0,4.5,10.6,18.3,23.65
28.1,32,22.2,77,0,4.5,10.6,18.3,36.49
28.6,32,24.4,78,0,5.3,11.9,20.6,37.94
28.6,32,24.4,78,0,5.3,11.9,20.6,40.81
27.1,31,22.9,69,0,5.1,11.7,24.1,41.51
27.1,31,22.9,69,0,5.1,11.7,24.1,37.59
27.5,32,23.1,75,0,5.3,10.4,20.6,21.53
27.5,32,23.1,75,0,5.3,10.4,20.6,19.13
28.3,33,22.8,68,0,5.6,9.3,18.3,21.34
28.3,33,22.8,68,0,5.6,9.3,18.3,14.11
29.2,33.6,25,77,0,5.6,11.9,22.2,12.54
29.2,33.6,25,77,0,5.6,11.9,22.2,11.4
28.6,32.5,24.6,72,0,6.4,10.6,18.3,12.49
28.6,32.5,24.6,72,0,6.4,10.6,18.3,13.51
27.9,32.2,23.6,72,0,5.5,9.3,22.2,12.61
27.9,32.2,23.6,72,0,5.5,9.3,22.2,13.35
27.9,33.5,21.5,69,0,5.3,11.5,22.2,12.89
27.9,33.5,21.5,69,0,5.3,11.5,22.2,13.58
28.4,34,22.1,73,0,5.6,14.1,22.2,13.42
28.4,34,22.1,73,0,5.6,14.1,22.2,20.27
29.4,34,24.4,74,0,5.8,14.4,25.9,13.17
29.4,34,24.4,74,0,5.8,14.4,25.9,15.81
29.4,33.1,25.4,74,0,5.8,14.1,24.1,14.36
29.4,33.1,25.4,74,0,5.8,14.1,24.1,15.7
29.1,33,24,67,0,6.3,12,20.6,14.86
29.1,33,24,67,0,6.3,12,20.6,13.7
28.9,33.1,24,72,0,5.6,10.9,22.2,16.87
28.9,33.1,24,72,0,5.6,10.9,22.2,17.5
31.1,37,26.2,70,0,6.3,15.9,24.1,11.95
31.1,37,26.2,70,0,6.3,15.9,24.1,9.1
30.7,36.9,26.9,76,0,6,15.7,25.9,9.33
30.7,36.9,26.9,76,0,6,15.7,25.9,11.18
30.1,34.1,27,77,0,6.3,13.9,24.1,12.59
30.1,34.1,27,77,0,6.3,13.9,24.1,13.31
29,35.8,23.4,66,0,4.8,8.7,18.3,14.98
29,35.8,23.4,66,0,4.8,8.7,18.3,15.45
29.7,36,23.3,57,0,5.5,9.6,18.3,18.63
29.7,36,23.3,57,0,5.5,9.6,18.3,18.49
29.6,35.5,22.9,58,0,5.6,9.4,18.3,19.34
29.6,35.5,22.9,58,0,5.6,9.4,18.3,25.11
29.4,34,23.6,70,0,6.3,13.1,25.9,26.4
29.4,34,23.6,70,0,6.3,13.1,25.9,26.22
29.7,34,24.3,70,0,6,13.9,25.9,17.59
29.7,34,24.3,70,0,6,13.9,25.9,14.78
29.7,34.6,24,68,0,6.3,14.3,25.9,21.36
29.7,34.6,24,68,0,6.3,14.3,25.9,26.79
30,35.9,24.1,72,0,5.8,10.9,20.6,13.48
30,35.9,24.1,72,0,5.8,10.9,20.6,30.18
30.2,36,25,63,0,6.4,12.6,25.9,18.9
30.2,36,25,63,0,6.4,12.6,25.9,19.47
29.7,36.1,23.5,68,0,5.6,11.1,24.1,35.41
29.7,36.1,23.5,68,0,5.6,11.1,24.1,34.3
31.8,39,25.8,64,0,6.3,14.6,24.1,32.88
31.8,39,25.8,64,0,6.3,14.6,24.1,39.97
31.2,39.2,25.4,67,0,6,16.7,24.1,35.56
31.2,39.2,25.4,67,0,6,16.7,24.1,32.61
30.8,38.1,26,70,0,6.6,13.7,24.1,28.16
30.8,38.1,26,70,0,6.6,13.7,24.1,28.86
30.8,36.1,25.3,68,0,6.6,13.3,27.8,27.46
30.8,36.1,25.3,68,0,6.6,13.3,27.8,34.69
31.3,37.2,25.2,66,0,6.4,16.5,22.2,38.11
31.3,37.2,25.2,66,0,6.4,16.5,22.2,45.64
31.6,37,26.6,70,0,5.6,14.1,25.9,51.3
31.6,37,26.6,70,0,5.6,14.1,25.9,47.23
31.8,37,27.4,71,0,5.6,13.3,24.1,42.45
31.8,37,27.4,71,0,5.6,13.3,24.1,38.78
31.7,37.1,26.5,67,0,5.8,13.3,25.9,51.03
31.7,37.1,26.5,67,0,5.8,13.3,25.9,60.96
31.3,37.4,25.8,68,0,6.6,12.6,22.2,67.66
31.3,37.4,25.8,68,0,6.6,12.6,22.2,74
31.3,38,25.4,65,0,6,13,22.2,79.9
31.3,38,25.4,65,0,6,13,22.2,65.54
32.4,37,27.3,69,0,6.6,13,24.1,70.18
32.4,37,27.3,69,0,6.6,13,24.1,38.04
32.6,36.7,28.2,68,0,6.8,14.4,27.8,47.78
32.6,36.7,28.2,68,0,6.8,14.4,27.8,70.67
32.9,38,28.6,65,0,6.6,14.1,25.9,57.18
32.9,38,28.6,65,0,6.6,14.1,25.9,42.43
31.6,36.1,27,67,0,6.1,10.2,20.6,57.29
31.6,36.1,27,67,0,6.1,10.2,20.6,53.52
32.2,38,26.4,69,0,6.1,11.5,22.2,47.65
32.2,38,26.4,69,0,6.1,11.5,22.2,48.14
32.3,37.6,27,68,0,6,14.1,24.1,39.39
32.3,37.6,27,68,0,6,14.1,24.1,40.82
32.7,38,29.6,60,0,5,11.9,42.4,25.3
32.7,38,29.6,60,0,5,11.9,42.4,43.82
34.7,43,28.2,52,0,5.8,15,24.1,43
34.7,43,28.2,52,0,5.8,15,24.1,35.7
34.7,42,28.5,51,0,6.4,16.7,25.9,37.37
34.7,42,28.5,51,0,6.4,16.7,25.9,31.92
34,42,28.2,56,0,5.8,15.6,24.1,42.43
34,42,28.2,56,0,5.8,15.6,24.1,47.02
33.6,42,28.4,52,0,5.8,14.6,24.1,43.43
33.6,42,28.4,52,0,5.8,14.6,24.1,29.75
34.3,42,26.9,55,0,6.4,15.4,24.1,15.31
34.3,42,26.9,55,0,6.4,15.4,24.1,23.12
32.8,39,27.6,69,0,6.4,15.4,24.1,18.98
32.8,39,27.6,69,0,6.4,15.4,24.1,19.25
32.8,39.2,28,72,0,6.1,14.3,22.2,38.58
32.8,39.2,28,72,0,6.1,14.3,22.2,31.2
33,39,28.6,70,0,6.3,15.4,24.1,13.47
33,39,28.6,70,0,6.3,15.4,24.1,11.91
33,39,28.6,70,0,6.3,15.4,24.1,6.92
33,39,28.6,70,0,6.3,15.4,24.1,14.93
33,39,28.6,70,0,6.3,15.4,24.1,23.7
33,39,28.6,70,0,6.3,15.4,24.1,23.93
33.05,38.9,27.9,65,0,6.5,17.9,25.95,25.99
33.05,38.9,27.9,65,0,6.5,17.9,25.95,27.07
33.1,39,27.8,63,0,6.6,16.5,27.8,24.91
33.1,39,27.8,63,0,6.6,16.5,27.8,29
33,38.8,28,67,0,6.4,19.3,24.1,26.49
33,38.8,28,67,0,6.4,19.3,24.1,30.21
32.9,38.6,28.5,70,0,6.1,15.2,25.9,36.35
32.9,38.6,28.5,70,0,6.1,15.2,25.9,27.46
34.2,41,28.6,65,0,6.1,14.6,22.2,16.08
34.2,41,28.6,65,0,6.1,14.6,22.2,29.49
33.8,40.1,29.1,65,0,6.3,15.9,22.2,26.57
33.8,40.1,29.1,65,0,6.3,15.9,22.2,39.38
32.8,39.6,28.6,73,0,5.8,16.1,24.1,32.68
32.8,39.6,28.6,73,0,5.8,16.1,24.1,25.69
34.2,41,29,59,0,6.3,15.2,27.8,25.26
34.2,41,29,59,0,6.3,15.2,27.8,32.18
34.4,42,28.6,56,0,6.3,14.4,24.1,28.09
34.4,42,28.6,56,0,6.3,14.4,24.1,22.33
33.2,41.1,28.2,59,0,6.3,13,27.8,29.16
33.2,41.1,28.2,59,0,6.3,13,27.8,55.18
33.3,38.7,28.2,69,0,6.3,16.3,27.8,44.99
33.3,38.7,28.2,69,0,6.3,16.3,27.8,38.45
34,41,27.2,60,0,6.6,16.7,24.1,66.13
34,41,27.2,60,0,6.6,16.7,24.1,62.67
35.1,43,28.1,54,0,6.4,17.8,27.8,58.91
35.1,43,28.1,54,0,6.4,17.8,27.8,62.68
33.1,41.6,29,55,0,6.6,16.7,24.1,67.28
33.1,41.6,29,55,0,6.6,16.7,24.1,42.93
35.3,41,27.5,49,0,6.8,16.9,27.8,52.98
35.3,41,27.5,49,0,6.8,16.9,27.8,40.1
35.1,42,27.4,49,0,6.1,18.1,25.9,44.3
35.1,42,27.4,49,0,6.1,18.1,25.9,37.47
34.2,42,30.4,53,0,6,16.3,25.9,48.65
34.2,42,30.4,53,0,6,16.3,25.9,56.49
32.8,41.1,26,62,28.96,5.8,11.3,27.8,56.7
32.8,41.1,26,62,28.96,5.8,11.3,27.8,53.95
32.7,41,26.6,60,0,6.1,10.7,16.5,60.52
32.7,41,26.6,60,0,6.1,10.7,16.5,41.27
31.8,36.5,24.1,67,5.08,5.8,11.3,22.2,37.5
31.8,36.5,24.1,67,5.08,5.8,11.3,22.2,31.21
30.2,37,25,71,0,5,10,18.3,37.43
30.2,37,25,71,0,5,10,18.3,31.17
31.8,38,22.5,69,20.07,5.3,12.6,25.9,22.56
31.8,38,22.5,69,20.07,5.3,12.6,25.9,24.79
33.7,38,29.3,53,0,6,16.9,25.9,26.59
33.7,38,29.3,53,0,6,16.9,25.9,18.42
33.3,38.1,29.2,57,10.035,6,15.2,24.1,31.27
33.3,38.1,29.2,57,10.035,6,15.2,24.1,21.93
33.3,39,27.8,58,0,6.6,16.7,24.1,35.29
33.3,39,27.8,58,0,6.6,16.7,24.1,38.69
34.1,40,29,49,0,6.1,15.4,22.2,51.83
34.1,40,29,49,0,6.1,15.4,22.2,34.57
34,40.2,28.8,51,0,6.6,16.1,25.9,59.16
34,40.2,28.8,51,0,6.6,16.1,25.9,39.33
32.4,39.6,26.6,58,8.51,5.3,16.9,24.1,40.6
32.4,39.6,26.6,58,8.51,5.3,16.9,24.1,55.87
31.2,37.6,25.3,65,17.02,6.6,14.4,27.8,49.45
31.2,37.6,25.3,65,17.02,6.6,14.4,27.8,50.73
30.5,36,26,68,0,6,13.1,22.2,42.75
30.5,36,26,68,0,6,13.1,22.2,41.25
30.5,39,25,69,0,6,13.7,27.8,44.92
30.5,39,25,69,0,6,13.7,27.8,20.04
30.2,37.1,26.3,72,0,5.8,13.7,22.2,36.98
30.2,37.1,26.3,72,0,5.8,13.7,22.2,68.76
31.3,37,25.4,71,1.02,6.3,12.8,22.2,61.37
31.3,37,25.4,71,1.02,6.3,12.8,22.2,55.72
31.2,36,26.2,67,53.47,6.3,12.8,22.2,59.95
31.2,36,26.2,67,53.47,6.3,12.8,22.2,56.94
29,36.1,24,82,77.98,5.1,13.5,27.8,58.37
29,36.1,24,82,77.98,5.1,13.5,27.8,53.64
29.7,33.1,23.2,72,28.96,5.5,13,24.1,54.32
29.7,33.1,23.2,72,28.96,5.5,13,24.1,57.81
31,35,26.6,67,0,6.1,13.1,24.1,49.51
31,35,26.6,67,0,6.1,13.1,24.1,57.05
32.6,37,26.1,64,0,6.6,16.1,24.1,53.35
32.6,37,26.1,64,0,6.6,16.1,24.1,59.37
31.7,36.4,26.5,69,0,6.4,13.3,22.2,58.54
31.7,36.4,26.5,69,0,6.4,13.3,22.2,45.56
31.3,34.6,26.2,70,0,5.8,13.7,27.8,28.38
31.3,34.6,26.2,70,0,5.8,13.7,27.8,48.1
32.2,36,26.4,65,0,6.3,13.9,25.9,44.14
32.2,36,26.4,65,0,6.3,13.9,25.9,37.83
31.9,35,27,62,0,6.1,16.9,27.8,39.05
31.9,35,27,62,0,6.1,16.9,27.8,41.73
32.8,37,27.6,58,5.97,5.6,15,25.9,64.23
32.8,37,27.6,58,5.97,5.6,15,25.9,67.72
33.1,37,26.6,55,0,6.4,14.8,25.9,57.6
33.1,37,26.6,55,0,6.4,14.8,25.9,57.91
31.9,38,27,67,11.94,5.8,14.3,22.2,58.15
31.9,38,27,67,11.94,5.8,14.3,22.2,55.94
30.9,38,25.8,73,1.02,5.6,11.5,22.2,63.42
30.9,38,25.8,73,1.02,5.6,11.5,22.2,63.92
31.6,37.2,24.8,71,1.02,6.1,13.9,22.2,52.84
31.6,37.2,24.8,71,1.02,6.1,13.9,22.2,46.63
31.2,37,25,74,26.92,6.8,12.6,24.1,47.37
31.2,37,25,74,26.92,6.8,12.6,24.1,48.3
30.8,35,25,77,28.96,6.3,12.8,27.8,52.17
30.8,35,25,77,28.96,6.3,12.8,27.8,48.79
30.9,35,25.4,75,8.89,5.5,14.4,24.1,42.02
30.9,35,25.4,75,8.89,5.5,14.4,24.1,31.95
31.4,35,24.5,69,8.89,6.6,15.6,27.8,29.34
31.4,35,24.5,69,8.89,6.6,15.6,27.8,30.63
31.9,36,26.8,66,0,7.2,16.1,24.1,29.19
31.9,36,26.8,66,0,7.2,16.1,24.1,32.64
32,36,27,66,0,7.2,15.9,22.2,27.49
32,36,27,66,0,7.2,15.9,22.2,28.67
30.6,35.6,24,74,0,5.5,11.1,18.3,36.29
30.6,35.6,24,74,0,5.5,11.1,18.3,33.34
30.5,33,25,73,4.06,6.1,8.5,14.8,32.03
30.5,33,25,73,4.06,6.1,8.5,14.8,30.06
30.1,34,24.6,76,0,6.1,10.7,25.9,32.75
30.1,34,24.6,76,0,6.1,10.7,25.9,27.69
29.5,34,23.8,78,17.02,6.1,10.9,37,33.76
29.5,34,23.8,78,17.02,6.1,10.9,37,28.51
31.7,37,26.6,59,0,6.3,10.4,27.8,30.92
31.7,37,26.6,59,0,6.3,10.4,27.8,29.3
32,37,27.6,57,0,6.6,12.6,25.9,30.83
32,37,27.6,57,0,6.6,12.6,25.9,36.51
31.4,36.4,27.2,62,0,6.6,10.9,22.2,44.21
31.4,36.4,27.2,62,0,6.6,10.9,22.2,46.2
29,34.6,24.4,73,5.08,6.3,11.7,22.2,45.94
29,34.6,24.4,73,5.08,6.3,11.7,22.2,47.64
29.6,35,24.4,72,0,6.6,12.2,22.2,55.69
29.6,35,24.4,72,0,6.6,12.2,22.2,53.69
29.7,35.2,25.6,72,3.05,6.3,14.6,33.5,53.81
29.7,35.2,25.6,72,3.05,6.3,14.6,33.5,43.01
27.3,31.2,22.2,89,95,4.7,5,16.5,31.9
27.3,31.2,22.2,89,95,4.7,5,16.5,41.66
28.6,32,25.2,83,3.05,4.8,6.1,13,43.38
28.6,32,25.2,83,3.05,4.8,6.1,13,38.96
28.3,32,25.2,83,0,5.3,3.7,14.8,38.12
28.3,32,25.2,83,0,5.3,3.7,14.8,51.76
27.7,33.1,24,84,10.92,5.3,14.4,24.1,29.15
27.7,33.1,24,84,10.92,5.3,14.4,24.1,28.85
28.8,32.6,23.2,80,23.88,6.4,11.9,20.6,22.78
28.8,32.6,23.2,80,23.88,6.4,11.9,20.6,27.28
29.3,32.4,25.2,78,0,6.3,8.7,20.6,27.26
29.3,32.4,25.2,78,0,6.3,8.7,20.6,23.1
29.7,34,24.9,75,0,6.1,9.6,16.5,33.32
29.7,34,24.9,75,0,6.1,9.6,16.5,31.05
30.3,34.6,25.7,75,0,5.1,10.2,20.6,33.72
30.3,34.6,25.7,75,0,5.1,10.2,20.6,39.18
30,34.1,25.6,74,0,6.1,10.9,22.2,32.91
30,34.1,25.6,74,0,6.1,10.9,22.2,27.3
30.3,35,25.6,72,0,6,10.2,18.3,31.58
30.3,35,25.6,72,0,6,10.2,18.3,33.27
30,34.2,26.1,73,0,6,9.4,18.3,23.57
30,34.2,26.1,73,0,6,9.4,18.3,26.08
29.9,34,25.6,73,0,5.8,10.2,18.3,34.43
29.9,34,25.6,73,0,5.8,10.2,18.3,33.57
30.2,34.2,26.6,73,3.935,6,9.3,22.2,33.97
30.2,34.2,26.6,73,3.935,6,9.3,22.2,20.01
29.8,34,26,76,0,5.5,12,22.2,20.11
29.8,34,26,76,0,5.5,12,22.2,19.98
29.1,33.9,25,80,7.87,4.5,10.6,18.3,20.15
29.1,33.9,25,80,7.87,4.5,10.6,18.3,24.04
27.3,31.5,24.6,89,2.03,4.5,5.9,24.1,24
27.3,31.5,24.6,89,2.03,4.5,5.9,24.1,22.78
26.8,30.6,24,92,3.05,3.9,4.1,18.3,22.61
26.8,30.6,24,92,3.05,3.9,4.1,18.3,26.83
25.9,29.9,23.4,95,65.02,3.4,5.4,13,26.19
25.9,29.9,23.4,95,65.02,3.4,5.4,13,35.26
27.8,31,24,84,0,4.5,5.9,20.6,29.67
27.8,31,24,84,0,4.5,5.9,20.6,33.87
27.7,31.2,23.4,86,25.91,3.9,6.1,18.3,36.82
27.7,31.2,23.4,86,25.91,3.9,6.1,18.3,33.86
28.7,32.4,24.8,80,0,4.2,6.9,20.6,38.89
28.7,32.4,24.8,80,0,4.2,6.9,20.6,32.21
27.3,30,23.6,85,17.02,5.6,5,16.5,28.38
27.3,30,23.6,85,17.02,5.6,5,16.5,33.18
28.6,33,23.5,79,0.25,5.8,6.5,18.3,27.5
28.6,33,23.5,79,0.25,5.8,6.5,18.3,24.11
28.8,32.6,24.5,80,0,5.1,6.7,18.3,28.28
28.8,32.6,24.5,80,0,5.1,6.7,18.3,33.22
28.6,32.6,25.2,78,0,4.3,6.7,18.3,35.08
28.6,32.6,25.2,78,0,4.3,6.7,18.3,36.95
29.3,34,24.7,73,0,2.4,6.1,14.8,24.79
29.3,34,24.7,73,0,2.4,6.1,14.8,21.31
30.3,35,24.5,72,0,3.1,7.6,11.1,25.52
30.3,35,24.5,72,0,3.1,7.6,11.1,28.4
29.1,34.7,25.4,81,26.92,2.7,6.3,20.6,30.88
29.1,34.7,25.4,81,26.92,2.7,6.3,20.6,25
28.5,32.3,24.6,72,0,5.1,12.2,24.1,28.97
28.5,32.3,24.6,72,0,5.1,12.2,24.1,29.73
28.1,32,24.8,79,13.46,5.3,11.3,24.1,27.67
28.1,32,24.8,79,13.46,5.3,11.3,24.1,28.3
27.1,31.8,24.4,86,7.11,4.8,8.1,25.9,27.22
27.1,31.8,24.4,86,7.11,4.8,8.1,25.9,32.45
27.2,32,24.8,89,3.05,3.7,5.9,11.1,33.52
27.2,32,24.8,89,3.05,3.7,5.9,11.1,35.37
27.7,32,24.6,85,21.08,3.9,9.4,20.6,33.57
27.7,32,24.6,85,21.08,3.9,9.4,20.6,33.34
27.6,31.6,23.5,81,42.93,4,11.5,20.6,26.76
27.6,31.6,23.5,81,42.93,4,11.5,20.6,29.02
26.9,30.8,23,78,1.02,4.7,10,24.1,26.29
26.9,30.8,23,78,1.02,4.7,10,24.1,26.38
27.4,31,22.7,78,0,3.9,12.4,22.2,31.09
27.4,31,22.7,78,0,3.9,12.4,22.2,34.26
28.5,32,25,79,0,4.8,13.9,22.2,34.64
28.5,32,25,79,0,4.8,13.9,22.2,32.88
25.3,29.8,23.4,96,70.1,2.4,9.4,27.8,34.13
25.3,29.8,23.4,96,70.1,2.4,9.4,27.8,33.78
26.7,29,23.2,92,58.93,4.3,6.3,24.1,31.54
26.7,29,23.2,92,58.93,4.3,6.3,24.1,33.41
27.8,30.2,25.2,81,7.87,4.5,11.5,22.2,26.05
27.8,30.2,25.2,81,7.87,4.5,11.5,22.2,21.78
25.4,29.4,23.6,92,4.06,2.9,4.6,11.1,32.79
25.4,29.4,23.6,92,4.06,2.9,4.6,11.1,28.75
26.7,30,23.1,79,3.05,4.7,7.4,24.1,23.73
26.7,30,23.1,79,3.05,4.7,7.4,24.1,20.76
27.3,31,23.5,74,0,5.3,9.6,22.2,26.69
27.3,31,23.5,74,0,5.3,9.6,22.2,30.7
26.3,29.6,23.4,86,21.08,3.5,6.9,24.1,33.97
26.3,29.6,23.4,86,21.08,3.5,6.9,24.1,27.6
25.3,28.6,22.9,90,4.06,3.2,6.1,18.3,29.24
25.3,28.6,22.9,90,4.06,3.2,6.1,18.3,31.94
26.1,30.6,22.5,79,0,5.1,6.5,20.6,34.11
26.1,30.6,22.5,79,0,5.1,6.5,20.6,28.62
27.1,31,24,74,0,4.8,10.4,27.8,30.14
27.1,31,24,74,0,4.8,10.4,27.8,23.31
26.9,31,23,75,0,4.8,9.8,22.2,37.77
26.9,31,23,75,0,4.8,9.8,22.2,31.92
26.5,30,22.4,77,0,4,11.7,22.2,21.95
26.5,30,22.4,77,0,4,11.7,22.2,18.31
26.2,30,22,78,1.02,4.3,8,18.3,24.7
26.2,30,22,78,1.02,4.3,8,18.3,24.71
25.2,30,21.1,79,0,4.2,5.7,16.5,27.14
25.2,30,21.1,79,0,4.2,5.7,16.5,16.21
26.1,30,21.1,74,17.02,4.7,7,18.3,20.66
26.1,30,21.1,74,17.02,4.7,7,18.3,26.85
27.1,30,23.2,82,6.1,4.5,12,22.2,23.61
27.1,30,23.2,82,6.1,4.5,12,22.2,28.52
25.7,30.3,22.5,91,27.94,3.7,5.6,13,39.14
25.7,30.3,22.5,91,27.94,3.7,5.6,13,31.47
27.6,31,23.4,84,33.02,4.5,6.7,16.5,36.16
27.6,31,23.4,84,33.02,4.5,6.7,16.5,38.15
27.9,31.2,24,82,0,4.8,7.8,18.3,50.11
27.9,31.2,24,82,0,4.8,7.8,18.3,26.4
27.4,30.1,24,76,2.03,4.8,14.4,24.1,43.88
27.4,30.1,24,76,2.03,4.8,14.4,24.1,34.39
25.8,30.2,21.4,74,0,4.8,8.9,18.3,20.27
25.8,30.2,21.4,74,0,4.8,8.9,18.3,21.65
25.4,31,20.3,73,0,5,6.5,14.8,24.05
25.4,31,20.3,73,0,5,6.5,14.8,21.36
24.7,30,20,74,0,3.1,7.4,18.3,20.12
24.7,30,20,74,0,3.1,7.4,18.3,27.37
24.7,29.7,18.2,69,0,3.9,6.7,18.3,34.46
24.7,29.7,18.2,69,0,3.9,6.7,18.3,29.98
25.7,31,20,64,0,4.7,8,18.3,21.73
25.7,31,20,64,0,4.7,8,18.3,21.6
27.2,31,23,71,0,6,9.6,18.3,30.14
27.2,31,23,71,0,6,9.6,18.3,21.02
26.6,32,21.6,71,0,5.6,9.1,20.6,30.61
26.6,32,21.6,71,0,5.6,9.1,20.6,49.4
26,31.5,21.6,71,0,5.8,10.4,25.9,40.15
26,31.5,21.6,71,0,5.8,10.4,25.9,31.17
24.9,31,19.5,74,0,4.8,6.5,18.3,45.38
24.9,31,19.5,74,0,4.8,6.5,18.3,46.53
25.9,31,19.8,69,0,5,7,14.8,31.28
25.9,31,19.8,69,0,5,7,14.8,35.18
26.6,31.6,21,70,0,5,8.5,16.5,37.16
26.6,31.6,21,70,0,5,8.5,16.5,36.81
27.2,32.4,22,74,0,4.7,5.7,13,33.97
27.2,32.4,22,74,0,4.7,5.7,13,16.33
27.4,31.7,22.9,71,0,4.8,7,14.8,34.65
27.4,31.7,22.9,71,0,4.8,7,14.8,33.94
26.9,31.8,22,68,0,5.6,6.5,18.3,35.24
26.9,31.8,22,68,0,5.6,6.5,18.3,36.35
26.8,32,21.6,70,0,5.1,10.2,20.6,37.84
26.8,32,21.6,70,0,5.1,10.2,20.6,38.03
27.4,32.1,21.8,66,0,5.6,12.4,25.9,38.31
27.4,32.1,21.8,66,0,5.6,12.4,25.9,37.64
27.8,32,22,62,0,5.8,11.1,18.3,32.83
27.8,32,22,62,0,5.8,11.1,18.3,30.45
27.5,32.2,23.2,69,0,4.8,13,25.9,34.11
27.5,32.2,23.2,69,0,4.8,13,25.9,32.83
26.9,32,22.8,71,0,4.8,10.2,24.1,37.08
26.9,32,22.8,71,0,4.8,10.2,24.1,30.16
26.8,33,21,65,0,4.2,8.9,22.2,33.51
26.8,33,21,65,0,4.2,8.9,22.2,36.84
26.5,34,20.9,61,0,4.7,9.1,18.3,41.74
26.5,34,20.9,61,0,4.7,9.1,18.3,36.82
26.8,31.9,20.6,62,0,5.3,11.1,20.6,35.94
26.8,31.9,20.6,62,0,5.3,11.1,20.6,33.55
26.8,32,22,62,0,6,9.3,18.3,33.46
26.8,32,22,62,0,6,9.3,18.3,37.03
27.3,31.5,20.5,70,0,5,15.4,25.9,35.57
27.3,31.5,20.5,70,0,5,15.4,25.9,38.09
28.3,32.4,23.4,72,0,5.3,13.1,22.2,36.05
28.3,32.4,23.4,72,0,5.3,13.1,22.2,34.28
28.3,33,24,70,0,4.8,10.7,22.2,37.53
28.3,33,24,70,0,4.8,10.7,22.2,41.7
28.2,33.2,23.6,72,0,4.8,11.1,25.9,34.53
28.2,33.2,23.6,72,0,4.8,11.1,25.9,37.34
28.2,32.4,24,66,0,5.8,10.6,18.3,38.1
28.2,32.4,24,66,0,5.8,10.6,18.3,45
27.9,32.4,23,64,0,4.2,10.2,20.6,42.2
27.9,32.4,23,64,0,4.2,10.2,20.6,50.88
28.6,33.2,23.4,66,0,5,9.4,18.3,46.97
28.6,33.2,23.4,66,0,5,9.4,18.3,45.9
28.8,32.5,25.5,73,0,6.1,13,27.8,41.28
28.8,32.5,25.5,73,0,6.1,13,27.8,42.79
28.7,32.6,24,70,0,6.4,11.5,22.2,47.7
28.7,32.6,24,70,0,6.4,11.5,22.2,43.98
28.2,33.4,22.4,68,0,6.8,11.1,24.1,48.61
28.2,33.4,22.4,68,0,6.8,11.1,24.1,42.92
28.1,33.5,23.6,73,0,6,9.8,22.2,46.44
28.1,33.5,23.6,73,0,6,9.8,22.2,40.83
27.4,33.2,24,72,0,5.5,7.6,18.3,45.26
27.4,33.2,24,72,0,5.5,7.6,18.3,43.23
28.8,33.2,24.5,70,0,5.5,11.1,24.1,48.56
28.8,33.2,24.5,70,0,5.5,11.1,24.1,43.18
29.7,34.6,24.6,67,0,5.5,11.5,22.2,38.92
29.7,34.6,24.6,67,0,5.5,11.5,22.2,39.6
29.2,35.2,24.5,71,0,6,11.9,25.9,43.39
29.2,35.2,24.5,71,0,6,11.9,25.9,48.74
29.4,34.5,25.1,71,0,5.8,12.8,25.9,46.54
29.4,34.5,25.1,71,0,5.8,12.8,25.9,57
28.7,33.5,24.4,72,0,5.8,9.3,18.3,60.89
28.7,33.5,24.4,72,0,5.8,9.3,18.3,46.91
29.1,33.6,24.8,68,0,6.3,7.6,22.2,49.94
29.1,33.6,24.8,68,0,6.3,7.6,22.2,49.76
29,34.4,24.1,65,0,6.1,7,16.5,41.21
29,34.4,24.1,65,0,6.1,7,16.5,39.81
29.3,35,24.4,70,0,6.3,6.3,20.6,38.64
29.3,35,24.4,70,0,6.3,6.3,20.6,57.6
30.1,37,24.1,65,0,6.1,8.1,18.3,62
30.1,37,24.1,65,0,6.1,8.1,18.3,47.36
30.3,36.2,24.9,68,0,6.1,9.4,20.6,49.45
30.3,36.2,24.9,68,0,6.1,9.4,20.6,53.61
29.9,36.6,25.5,70,0,5.5,10.2,25.9,59.22
29.9,36.6,25.5,70,0,5.5,10.2,25.9,60.66
30.7,35.4,26.9,72,0,6.8,10.6,24.1,55.1
30.7,35.4,26.9,72,0,6.8,10.6,24.1,52.89
30.8,35.8,27.5,76,0,6.6,10.6,25.9,56.57
30.8,35.8,27.5,76,0,6.6,10.6,25.9,46.75
27.9,35.6,24,81,23.88,5.3,11.3,25.9,55.54
27.9,35.6,24,81,23.88,5.3,11.3,25.9,41.46
29.6,34.6,24.7,71,0,6.4,6.3,22.2,46.53
29.6,34.6,24.7,71,0,6.4,6.3,22.2,52.79
29.6,34.7,24.6,72,0,6.4,7.8,18.3,51.41
