T,TM,Tm,H,PP,VV,V,VM,SO2
29.9,36.5,23.4,49.5,0,4.4,4.8,12.95,65.44
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,85.42
30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,13.54166667,74.37
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,118.35
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,41.94
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,77.74
33.2,41.9,25.05,42.7,0,4.33,8.89,17.99,78.27
32.6,41,24.9,42.5,0,4.4,8.7,17.4,39.41
32.6,41,24.9,42.5,0,4.4,8.7,17.4,93.18
32.4,41,25.1,41,0,4.5,8.5,18.3,65.95
32.4,41,25.1,41,0,4.5,8.5,18.3,50.13
32.8,41,24.7,44,0,4.3,8.9,16.5,34.06
32.8,41,24.7,44,0,4.3,8.9,16.5,22.27
34,43,24.7,43,0,4.3,9.1,18.3,15.5
34,43,24.7,43,0,4.3,9.1,18.3,20.13
34.2,43.5,25.85,43,0,4.15,9.25,19.45,39.69
34.2,43.5,25.85,43,0,4.15,9.25,19.45,54.69
34.4,44,27,43,0,4,9.4,20.6,42.66
34.4,44,27,43,0,4,9.4,20.6,27.96
35.7,45,26.5,29,0,4.5,5.7,13,31.9
35.7,45,26.5,29,0,4.5,5.7,13,36.05
35.5,45,24.1,26,0,4.7,6.7,14.8,70.13
35.5,45,24.1,26,0,4.7,6.7,14.8,17.66
35.6,45,27,27,0,4.7,9.6,14.8,38.76
35.6,45,27,27,0,4.7,9.6,14.8,52.07
34.5,43,27,35,0,4.7,9.3,18.3,36.23
34.5,43,27,35,0,4.7,9.3,18.3,17
37.3,44,27.2,24,0,4.7,10.2,18.3,30.67
37.3,44,27.2,24,0,4.7,10.2,18.3,41.12
32.9,43,27.4,49,0,3.7,7.4,16.5,26.4
32.9,43,27.4,49,0,3.7,7.4,16.5,41.96
34.4,40,25.2,48,7.11,3.9,6.1,18.3,23.67
34.4,40,25.2,48,7.11,3.9,6.1,18.3,14.46
36.5,45,27,33,0,4.3,5.9,14.8,12.85
36.5,45,27,33,0,4.3,5.9,14.8,14.91
36.3,46,28.1,42,0,4.7,15,24.1,15.33
36.3,46,28.1,42,0,4.7,15,24.1,46.82
34.9,44,28.4,51,0,4.7,13.3,22.2,41.68
34.9,44,28.4,51,0,4.7,13.3,22.2,71.97
36.1,46,29,46,0,4.5,11.9,18.3,18.64
36.1,46,29,46,0,4.5,11.9,18.3,7.76
35.9,45,29,47,0,4.7,15,22.2,38.05
35.9,45,29,47,0,4.7,15,22.2,23.84
35.2,45,28.4,50,0,4.8,15.6,24.1,48.05
35.2,45,28.4,50,0,4.8,15.6,24.1,39.85
35.6,45,28.7,50,0,4.7,12.4,22.2,9.89
35.6,45,28.7,50,0,4.7,12.4,22.2,3.13
36.3,46,28.7,38,0,4.5,12,18.3,0.76
36.3,46,28.7,38,0,4.5,12,18.3,0.52
34.7,43,29,49,0,4.5,15,27.8,1.02
34.7,43,29,49,0,4.5,15,27.8,0.81
32.8,40.4,27,56,1.015,4.2,13,29.4,1.05
32.8,40.4,27,56,1.015,4.2,13,29.4,0.74
33.6,41,26.5,48,2.03,3.5,12,31.7,0.87
33.6,41,26.5,48,2.03,3.5,12,31.7,2.17
37.6,46,30.5,33,0,4.2,11.7,50,4.11
37.6,46,30.5,33,0,4.2,11.7,50,4.04
33.4,38,30,57,0,4,10.6,22.2,4.01
33.4,38,30,57,0,4,10.6,22.2,5.62
32.3,40,29,61,0,4.5,12.2,24.1,4.1
32.3,40,29,61,0,4.5,12.2,24.1,4.99
32.4,39.3,28,64,0,4.3,13.5,29.4,10.86
32.4,39.3,28,64,0,4.3,13.5,29.4,12.28
32.1,40,27.2,64,0,4.2,14.3,27.8,11.09
32.1,40,27.2,64,0,4.2,14.3,27.8,12.31
32.3,40,27.6,62,0.25,4.2,12,24.1,13.91
32.3,40,27.6,62,0.25,4.2,12,24.1,5.27
32.7,37,28,63,0,4,8.1,14.8,8.09
32.7,37,28,63,0,4,8.1,14.8,7.31
32.8,39,27.2,60,0,4.3,10,18.3,5.72
32.8,39,27.2,60,0,4.3,10,18.3,6.78
33.4,39,27.7,61,0,4.7,11.3,18.3,9.33
33.4,39,27.7,61,0,4.7,11.3,18.3,7.93
30.1,35,25.3,78,130.05,3.7,14.8,22.2,10.05
30.1,35,25.3,78,130.05,3.7,14.8,22.2,10.87
31.2,36.5,27.1,73,0,3.5,17.2,25.9,10.28
31.2,36.5,27.1,73,0,3.5,17.2,25.9,10.25
31.4,36.8,26.9,70,0,3.7,15.6,29.4,12.7
31.4,36.8,26.9,70,0,3.7,15.6,29.4,10.07
31.8,37.4,27.5,63,0,4.3,13.9,27.8,11.09
31.8,37.4,27.5,63,0,4.3,13.9,27.8,7.73
32.1,38,27.7,61,0,4.7,16.9,24.1,7.8
32.1,38,27.7,61,0,4.7,16.9,24.1,10
31.8,38,27.5,63,0,4.7,15.4,25.9,16.31
31.8,38,27.5,63,0,4.7,15.4,25.9,18.93
30.9,36.4,28,66,0,4.3,14.1,24.1,18.99
30.9,36.4,28,66,0,4.3,14.1,24.1,11.28
31,35,28,68,2.03,4.3,11.9,18.3,10.29
31,35,28,68,2.03,4.3,11.9,18.3,1.28
32.2,37,27.7,59,0,4.7,16.5,22.2,14.58
32.2,37,27.7,59,0,4.7,16.5,22.2,13.62
33.6,38,28.8,58,0,4.5,11.5,16.5,13.58
33.6,38,28.8,58,0,4.5,11.5,16.5,15.11
33.3,38,29,57,0,4.7,12.8,20.6,11.52
33.3,38,29,57,0,4.7,12.8,20.6,11.23
32.4,37.9,28,60,0,4.5,15.9,25.9,11.56
32.4,37.9,28,60,0,4.5,15.9,25.9,14.7
31.5,34,28.8,63,0,4.5,13.3,22.2,12.95
31.5,34,28.8,63,0,4.5,13.3,22.2,19.8
30.4,33,28,69,0,4.2,10,18.3,8.27
30.4,33,28,69,0,4.2,10,18.3,13.48
29.6,35.4,27,79,6.1,3.5,5,13,13.62
29.6,35.4,27,79,6.1,3.5,5,13,5.69
28.4,31.6,26,81,7.87,3.4,12.8,22.2,9.23
28.4,31.6,26,81,7.87,3.4,12.8,22.2,6.28
25.9,29,24,92,23.11,2.3,13.9,25.9,6.77
25.9,29,24,92,23.11,2.3,13.9,25.9,8.66
24.6,27,23,95,71.88,2.4,15.7,27.8,9.95
24.6,27,23,95,71.88,2.4,15.7,27.8,9.74
28.6,33,25.8,75,0.25,4.7,14.3,22.2,8.92
28.6,33,25.8,75,0.25,4.7,14.3,22.2,11.73
29.3,32.3,26.2,73,0,4.7,14.3,24.1,11.23
29.3,32.3,26.2,73,0,4.7,14.3,24.1,8.21
28.8,32.2,26.3,75,0,4.3,12.2,24.1,6.41
28.8,32.2,26.3,75,0,4.3,12.2,24.1,9.17
29.8,34,25.8,69,0,4.5,12.4,20.6,9.64
29.8,34,25.8,69,0,4.5,12.4,20.6,10.65
30.3,34.6,26.5,70,0,4,5.6,7.6,9.33
30.3,34.6,26.5,70,0,4,5.6,7.6,10.37
