T,TM,Tm,H,PP,VV,V,VM,SO2
22.7,29.1,17.1,48,0,6.3,2,5.4,2.94
21.9,29.8,16.2,44,0,6.3,2.6,7.6,2.35
21.9,29.8,16.2,44,0,6.3,2.6,7.6,2.34
21.3,29,16,53,0,6.9,4.4,11.1,2.61
21.3,29,16,53,0,6.9,4.4,11.1,3.87
21.4,29.2,15,42,0,6.9,5.2,9.4,3.4
21.4,29.2,15,42,0,6.9,5.2,9.4,3.09
21.9,29.6,13.2,26,0,6.9,3.1,7.6,3.53
21.9,29.6,13.2,26,0,6.9,3.1,7.6,3.14
22.6,30.4,15.9,30,0,8.5,5.4,9.4,4.2
22.6,30.4,15.9,30,0,8.5,5.4,9.4,3.71
21.7,30.1,15.8,32,0,6.9,6.3,11.1,3.85
21.7,30.1,15.8,32,0,6.9,6.3,11.1,3.83
23.3,32.3,20.2,67,0.51,6.3,3,5.4,3.66
23.3,32.3,20.2,67,0.51,6.3,3,5.4,4.07
23.3,30,19.2,54,0,6.9,2.4,5.4,4.18
23.3,30,19.2,54,0,6.9,2.4,5.4,3.7
24.4,30.2,19.7,61,0,6.9,1.5,5.4,4.01
24.4,30.2,19.7,61,0,6.9,1.5,5.4,4.08
23.5,30.2,18.5,49,0,6.3,5,11.1,4.17
23.5,30.2,18.5,49,0,6.3,5,11.1,3.95
23.3,29.9,17.9,58,0,6.9,5.6,7.6,3.88
23.3,29.9,17.9,58,0,6.9,5.6,7.6,4.27
23.4,30.7,17.4,60,0,6.3,5.7,7.6,3.39
23.4,30.7,17.4,60,0,6.3,5.7,7.6,3.33
24.3,32.1,16.8,34,0,6.3,5,9.4,3.26
24.3,32.1,16.8,34,0,6.3,5,9.4,3.02
22.8,32.2,17.4,39,0,6.9,7.4,18.3,3.78
22.8,32.2,17.4,39,0,6.9,7.4,18.3,3.89
24.2,31.5,17.5,31,0,6.9,5.4,11.1,3.61
24.2,31.5,17.5,31,0,6.9,5.4,11.1,3.59
24.7,31.2,17.3,34,0,7.4,6.9,11.1,5.17
24.7,31.2,17.3,34,0,7.4,6.9,11.1,6.99
25,32,17.8,34,0,6.9,3.9,5.4,2.278
25,32,17.8,34,0,6.9,3.9,5.4,1.5
25.2,32.7,18.2,28,0,6.9,5.9,11.1,1.48
25.2,32.7,18.2,28,0,6.9,5.9,11.1,2.58
25.2,33.2,18.2,26,0,6.9,5.2,7.6,2.83
25.2,33.2,18.2,26,0,6.9,5.2,7.6,3
25.5,32.5,18.3,25,0,6.9,4.8,7.6,3.91
25.5,32.5,18.3,25,0,6.9,4.8,7.6,3.42
25.7,33.2,17.5,21,0,6.9,2.4,5.4,3.39
25.7,33.2,17.5,21,0,6.9,2.4,5.4,3.64
25.5,34.6,16.5,29,0,7.7,7,11.1,3.55
25.5,34.6,16.5,29,0,7.7,7,11.1,3.4
25.4,33.5,18.5,25,0,6.9,5.7,9.4,3.34
25.4,33.5,18.5,25,0,6.9,5.7,9.4,3.47
26.2,33.3,17.8,27,0,6.9,5.9,7.6,3.4
26.2,33.3,17.8,27,0,6.9,5.9,7.6,3.24
25.8,32.5,20.1,57,0,6.9,4.1,7.6,3.56
25.8,32.5,20.1,57,0,6.9,4.1,7.6,3.8
26.5,31.6,22.4,50,0,6.9,4.8,11.1,3.42
26.5,31.6,22.4,50,0,6.9,4.8,11.1,3.01
25.8,32.1,21.6,60,0,6.9,4.6,11.1,2.74
25.8,32.1,21.6,60,0,6.9,4.6,11.1,2.73
25.6,31,19.6,39,0,7.4,2.8,48.2,6.9
25.6,31,19.6,39,0,7.4,2.8,48.2,2.28
26.7,33.8,19.5,37,0,6.9,2.4,5.4,2.7
26.7,33.8,19.5,37,0,6.9,2.4,5.4,3.94
27.4,33.7,21.4,44,0,6.9,2.2,3.5,3.94
27.4,33.7,21.4,44,0,6.9,2.2,3.5,4.05
27.3,33.4,21.7,43,0,7.7,3.9,7.6,4.06
27.3,33.4,21.7,43,0,7.7,3.9,7.6,5.71
27.1,34.1,20.8,34,0,6.9,3.3,7.6,5.25
27.1,34.1,20.8,34,0,6.9,3.3,7.6,5.54
27.4,34.4,21.5,42,0,6.9,3.3,5.4,6.03
27.4,34.4,21.5,42,0,6.9,3.3,5.4,5.46
25.9,34.8,21.1,60,3.3,6.3,4.1,9.4,6.12
25.9,34.8,21.1,60,3.3,6.3,4.1,9.4,9.43
27.6,33.2,21.2,54,0,6.9,2,7.6,5.83
27.6,33.2,21.2,54,0,6.9,2,7.6,6.65
24.7,33.5,20.6,72,0,6.9,2.2,5.4,4.22
24.7,33.5,20.6,72,0,6.9,2.2,5.4,5.71
26.1,33.1,19.8,55,13.72,7.4,0.7,3.5,5.1
26.1,33.1,19.8,55,13.72,7.4,0.7,3.5,6.3
26.7,33.5,21.6,51,0,8.5,3.1,5.4,5.64
26.7,33.5,21.6,51,0,8.5,3.1,5.4,5.31
26.4,32.6,21,47,0,6.9,5,7.6,5.48
26.4,32.6,21,47,0,6.9,5,7.6,4.33
26.2,32.7,21,49,0,6.9,5.2,7.6,5.76
26.2,32.7,21,49,0,6.9,5.2,7.6,7.1
27.6,33.5,21.7,51,0,6.9,5.9,11.1,6.35
27.6,33.5,21.7,51,0,6.9,5.9,11.1,6.26
28.3,34,23.1,50,0,6.9,5.2,7.6,5.16
28.3,34,23.1,50,0,6.9,5.2,7.6,4.09
28.2,34.6,23.9,52,0,7.7,3.9,7.6,4.82
28.2,34.6,23.9,52,0,7.7,3.9,7.6,4.3
27.9,34.8,23.9,63,1.02,6.9,2,7.6,4.51
27.9,34.8,23.9,63,1.02,6.9,2,7.6,3.12
25.5,34,22.8,63,17.02,6.9,1.1,5.4,4.33
25.5,34,22.8,63,17.02,6.9,1.1,5.4,4.77
28.2,34.8,22.2,51,0,7.4,1.1,3.5,4.87
28.2,34.8,22.2,51,0,7.4,1.1,3.5,3.78
26.6,34,22.2,63,3.81,6.9,3.1,7.6,3.86
26.6,34,22.2,63,3.81,6.9,3.1,7.6,4.26
27.2,34.4,22.8,62,0.51,6.9,4.1,5.4,3.57
27.2,34.4,22.8,62,0.51,6.9,4.1,5.4,3.68
28.3,34.7,22,51,0.51,9.2,2.8,9.4,3.55
28.3,34.7,22,51,0.51,9.2,2.8,9.4,3.69
26.9,35.2,21.4,64,5.59,6.3,5,11.1,6.55
26.9,35.2,21.4,64,5.59,6.3,5,11.1,4.18
26.5,33,23.3,73,0,7.7,4.8,9.4,4.39
26.5,33,23.3,73,0,7.7,4.8,9.4,6.31
25.9,34,20,72,0.76,6.9,3,9.4,7.21
25.9,34,20,72,0.76,6.9,3,9.4,5.85
27.8,33.5,23.4,57,0,6.9,3.9,7.6,6.23
27.8,33.5,23.4,57,0,6.9,3.9,7.6,5.35
25.9,33.5,22.8,70,0,6.9,3.7,9.4,5.19
25.9,33.5,22.8,70,0,6.9,3.7,9.4,4.66
27.2,32.8,21.8,59,0,6.9,4.1,9.4,3.37
27.2,32.8,21.8,59,0,6.9,4.1,9.4,4
24.9,32,21.5,74,0,7.4,1.1,37,2.91
24.9,32,21.5,74,0,7.4,1.1,37,3.21
23.8,32,21,78,17.78,6.9,1.9,5.4,3.24
23.8,32,21,78,17.78,6.9,1.9,5.4,3.83
24.8,31.4,20.6,63,16.51,6.3,0.9,3.5,4.93
24.8,31.4,20.6,63,16.51,6.3,0.9,3.5,4.53
25.9,31.2,21.4,66,4.32,6.9,6.1,11.1,4.83
25.9,31.2,21.4,66,4.32,6.9,6.1,11.1,5.1
25.2,32.4,20.5,65,8.64,6.9,2.6,9.4,4.68
25.2,32.4,20.5,65,8.64,6.9,2.6,9.4,4.7
24.1,32.4,21.5,77,0,6.3,3.1,11.1,4.64
24.1,32.4,21.5,77,0,6.3,3.1,11.1,4.79
23.5,32,21.4,89,33.02,6.3,4.1,7.6,4.78
23.5,32,21.4,89,33.02,6.3,4.1,7.6,4.87
25,29.8,21.1,78,3.05,5.5,2.4,5.4,5.5
25,29.8,21.1,78,3.05,5.5,2.4,5.4,5.95
26,30.8,22.2,71,0,6.9,2.2,5.4,6.63
26,30.8,22.2,71,0,6.9,2.2,5.4,6.11
25.6,29.7,20.9,77,10.41,7.7,6.7,9.4,6.9
25.6,29.7,20.9,77,10.41,7.7,6.7,9.4,7.51
24.4,30.3,21.8,83,0,6.6,3.5,5.4,6.49
24.4,30.3,21.8,83,0,6.6,3.5,5.4,6.47
23.8,31,20.9,81,1.52,5.5,3.9,7.6,6.63
23.8,31,20.9,81,1.52,5.5,3.9,7.6,7.2
23.7,29.8,20.8,83,1.78,6.9,6.5,7.6,7.09
23.7,29.8,20.8,83,1.78,6.9,6.5,7.6,7.5
23.9,30.1,21.7,79,0,6.9,12,14.8,7.49
23.9,30.1,21.7,79,0,6.9,12,14.8,8.27
23.3,29,21.2,83,0,6.3,11.9,16.5,8.6
23.3,29,21.2,83,0,6.3,11.9,16.5,7.14
22,25.8,20.7,86,3.81,6.6,12.8,14.8,7.47
22,25.8,20.7,86,3.81,6.6,12.8,14.8,6.66
24.1,28.3,20.8,77,4.06,6.3,11.3,14.8,7.32
24.1,28.3,20.8,77,4.06,6.3,11.3,14.8,7.56
23.2,27.9,21,84,4.06,6.3,7.8,11.1,7.75
23.2,27.9,21,84,4.06,6.3,7.8,11.1,7.58
23.8,29.6,20.5,77,16,6.9,6.5,9.4,7.49
23.8,29.6,20.5,77,16,6.9,6.5,9.4,7.68
23.8,28.9,20.1,74,0,6.9,12.8,14.8,8.01
23.8,28.9,20.1,74,0,6.9,12.8,14.8,7.9
23.4,29.1,20.7,78,0,6.9,12.6,14.8,7.08
23.4,29.1,20.7,78,0,6.9,12.6,14.8,7.68
23.5,28,20.9,79,0,6.9,9.1,11.1,7.55
23.5,28,20.9,79,0,6.9,9.1,11.1,7.46
23.5,27.8,20.1,77,0,6.9,8.3,11.1,6.84
23.5,27.8,20.1,77,0,6.9,8.3,11.1,6.51
23.1,28.1,20.2,75,0,6.9,11.9,16.5,7.18
23.1,28.1,20.2,75,0,6.9,11.9,16.5,6.44
21.9,28,20.1,86,5.08,6.9,10,14.8,6
21.9,28,20.1,86,5.08,6.9,10,14.8,6.28
24.2,29.5,20.6,75,0,6.9,9.4,14.8,6.5
24.2,29.5,20.6,75,0,6.9,9.4,14.8,6.8
24.8,29.4,20.9,68,2.54,6.9,10.9,14.8,7.15
24.8,29.4,20.9,68,2.54,6.9,10.9,14.8,5.94
24.4,30.2,20.7,68,0.51,6.9,8.1,11.1,6.18
24.4,30.2,20.7,68,0.51,6.9,8.1,11.1,6.68
22.9,26.3,20.5,82,0,6.9,11.3,16.5,6.27
22.9,26.3,20.5,82,0,6.9,11.3,16.5,7.52
22.4,26.4,20.3,86,0,8,6.7,9.4,6.44
22.4,26.4,20.3,86,0,8,6.7,9.4,6.96
22.8,26.4,20.7,85,1.02,6.9,8.7,14.8,5.96
22.8,26.4,20.7,85,1.02,6.9,8.7,14.8,6.34
22.2,27.4,20.5,86,0,7.7,10.9,14.8,6.35
22.2,27.4,20.5,86,0,7.7,10.9,14.8,5.58
22.4,26.5,20.3,86,4.57,6.9,8.5,11.1,5.76
22.4,26.5,20.3,86,4.57,6.9,8.5,11.1,6.76
23.6,27.2,20.4,74,1.78,6.9,10,13,6.44
23.6,27.2,20.4,74,1.78,6.9,10,13,6.65
23,28.6,21,79,0,6.9,14.8,25.9,5.95
23,28.6,21,79,0,6.9,14.8,25.9,6.92
23,27,20.4,77,0,6.9,14.6,22.2,7.32
23,27,20.4,77,0,6.9,14.6,22.2,7.81
22.7,26.9,20.3,83,0,8.5,14.8,18.3,7.61
22.7,26.9,20.3,83,0,8.5,14.8,18.3,7.07
23.3,28.2,20.2,82,1.02,6.9,9.1,14.8,7.09
23.3,28.2,20.2,82,1.02,6.9,9.1,14.8,6.5
23.7,28.8,20.6,79,0,6.9,8.9,11.1,6.94
23.7,28.8,20.6,79,0,6.9,8.9,11.1,7.56
23.3,27.3,20.5,76,0,6.9,10.9,16.5,7.34
23.3,27.3,20.5,76,0,6.9,10.9,16.5,7.25
23.1,28.3,20.3,81,4.83,6.9,10,22.2,8.3
23.1,28.3,20.3,81,4.83,6.9,10,22.2,8.66
21.9,27.2,19.4,85,5.33,5.5,8.7,18.3,8.63
21.9,27.2,19.4,85,5.33,5.5,8.7,18.3,7.69
23.6,28,18.7,77,14.99,6.9,9.6,22.2,8.53
23.6,28,18.7,77,14.99,6.9,9.6,22.2,8.27
23.3,28.6,20.8,76,0,6.9,8.5,16.5,7.58
23.3,28.6,20.8,76,0,6.9,8.5,16.5,7.65
21.9,27.7,19.7,84,11.43,7.4,11.1,14.8,7.71
21.9,27.7,19.7,84,11.43,7.4,11.1,14.8,6.95
22,25.4,20,88,3.56,5.5,8.3,13,7.44
22,25.4,20,88,3.56,5.5,8.3,13,8.27
23.4,27.6,20.2,76,8.89,6.3,9.8,18.3,7.55
23.4,27.6,20.2,76,8.89,6.3,9.8,18.3,7.46
21.7,24.6,19.4,85,3.3,7.4,10.2,18.3,8.26
21.7,24.6,19.4,85,3.3,7.4,10.2,18.3,7.87
21.9,25,19.6,88,1.02,5.5,10,22.2,7.24
21.9,25,19.6,88,1.02,5.5,10,22.2,7.82
22.2,25.7,20.1,87,6.35,5.5,7.6,11.1,7.22
22.2,25.7,20.1,87,6.35,5.5,7.6,11.1,6.83
23.3,27.4,20.7,77,0,6.3,13.1,18.3,7.24
23.3,27.4,20.7,77,0,6.3,13.1,18.3,7.1
22.8,27.3,20.2,78,0,6.9,11.7,18.3,6.7
22.8,27.3,20.2,78,0,6.9,11.7,18.3,6.79
23.3,27.4,19.7,72,0,6.9,10.6,18.3,6.76
23.3,27.4,19.7,72,0,6.9,10.6,18.3,6.59
23.7,27.8,19.8,75,41.66,6.9,8.3,11.1,6.14
23.7,27.8,19.8,75,41.66,6.9,8.3,11.1,6.06
22.4,28.5,20,83,0,6.3,6.3,14.8,5.67
22.4,28.5,20,83,0,6.3,6.3,14.8,6.59
21.9,28.3,19.5,86,8.38,6.3,6.7,11.1,6.36
21.9,28.3,19.5,86,8.38,6.3,6.7,11.1,6.27
23.3,28.8,20.3,78,19.81,7.4,6.9,11.1,6.52
23.3,28.8,20.3,78,19.81,7.4,6.9,11.1,6.96
23.7,28.3,20,73,0,6.9,6.5,11.1,6.52
23.7,28.3,20,73,0,6.9,6.5,11.1,6.73
23.8,28.2,20.3,71,0.25,6.6,7.8,9.4,6.84
23.8,28.2,20.3,71,0.25,6.6,7.8,9.4,6.89
24.7,29.3,19.7,61,0,6.9,6.5,9.4,6.48
24.7,29.3,19.7,61,0,6.9,6.5,9.4,6.55
24.4,29.2,20.3,63,0,6.9,8.7,14.8,6.53
24.4,29.2,20.3,63,0,6.9,8.7,14.8,6.35
24.3,29.1,20.1,66,0,6.9,7.8,14.8,6.28
24.3,29.1,20.1,66,0,6.9,7.8,14.8,6.36
25.7,30,20.5,59,0,6.9,5.4,9.4,6.52
25.7,30,20.5,59,0,6.9,5.4,9.4,6.56
25,31.6,22.3,72,0.25,6.9,1.9,3.5,6.45
25,31.6,22.3,72,0.25,6.9,1.9,3.5,6.31
24.8,30.3,20.4,69,33.02,6.3,1.5,5.4,6.74
24.8,30.3,20.4,69,33.02,6.3,1.5,5.4,7.29
23.9,31.7,20.1,77,16,6.6,2,5.4,7.54
23.9,31.7,20.1,77,16,6.6,2,5.4,8.02
23.1,28.75,19.75,76,6.985,6.3,5.35,9.4,8.31
23.1,28.75,19.75,76,6.985,6.3,5.35,9.4,6.52
22.7,29.1,19.5,81,13.97,6.3,5,9.4,7.67
22.7,29.1,19.5,81,13.97,6.3,5,9.4,6.75
23.5,28.4,20,71,0,6.3,5.7,9.4,6.29
23.5,28.4,20,71,0,6.3,5.7,9.4,7.03
23.9,28.2,18.4,64,0,6.9,4.8,7.6,6.8
23.9,28.2,18.4,64,0,6.9,4.8,7.6,5.81
23.8,29.25,19.15,71.5,16.13,6.2,2.6,5.55,7.01
23.8,29.25,19.15,71.5,16.13,6.2,2.6,5.55,6.14
23.7,30.3,19.9,79,32.26,5.5,0.4,3.5,6.46
23.7,30.3,19.9,79,32.26,5.5,0.4,3.5,6.17
25.1,29.2,21.3,72,1.27,6.9,3.5,5.4,6.14
25.1,29.2,21.3,72,1.27,6.9,3.5,5.4,7.11
25.3,29.9,21.4,69,4.32,6.9,3.7,7.6,7.8
25.3,29.9,21.4,69,4.32,6.9,3.7,7.6,7.7
25.5,30.9,21.6,73,0.25,6.9,5.2,7.6,5.77
25.5,30.9,21.6,73,0.25,6.9,5.2,7.6,4.97
24.9,30.3,21.3,71,0,6.9,4.6,5.4,5.67
24.9,30.3,21.3,71,0,6.9,4.6,5.4,6.65
24.1,30.4,21.6,75,0.25,6.9,5,7.6,7.96
24.1,30.4,21.6,75,0.25,6.9,5,7.6,7.78
24.2,28.2,20.2,70,7.87,6.9,3.3,5.4,6.5
24.2,28.2,20.2,70,7.87,6.9,3.3,5.4,5.06
24.1,29.5,20.8,72,0,6.3,3.1,3.5,5.2
24.1,29.5,20.8,72,0,6.3,3.1,3.5,5.38
24.3,29.5,20.6,65,4.32,6.3,1.5,5.4,5.57
24.3,29.5,20.6,65,4.32,6.3,1.5,5.4,5.21
25,31.5,20.4,67,0,6.3,2.4,5.4,5.74
25,31.5,20.4,67,0,6.3,2.4,5.4,5.89
24,30.3,21,75,1.02,6.9,3.1,3.5,5.57
24,30.3,21,75,1.02,6.9,3.1,3.5,5.34
23.4,29.8,20.1,82,3.81,6.9,0.4,3.5,5.25
23.4,29.8,20.1,82,3.81,6.9,0.4,3.5,5.65
24.4,28.7,20.2,71,1.02,7.4,3.1,3.5,5.5
24.4,28.7,20.2,71,1.02,7.4,3.1,3.5,5.6
23.8,29.3,19.7,58,0,6.9,3.1,3.5,5.48
23.8,29.3,19.7,58,0,6.9,3.1,3.5,5.46
23.7,29,19.7,60,0,6.3,5,7.6,5.49
23.7,29,19.7,60,0,6.3,5,7.6,6.21
23.9,30.2,18.2,58,0,5.5,5,9.4,6.78
23.9,30.2,18.2,58,0,5.5,5,9.4,5.86
23.8,29.3,18.7,58,0,6.6,4.6,7.6,5.69
23.8,29.3,18.7,58,0,6.6,4.6,7.6,6.47
23.4,29.5,18.2,51,0,6.9,3.7,7.6,5.9
23.4,29.5,18.2,51,0,6.9,3.7,7.6,5.86
24.8,30.1,19.7,64,0,6.3,4.6,11.1,7.38
24.8,30.1,19.7,64,0,6.3,4.6,11.1,5.77
24.3,30.4,20,65,0,6.3,3.9,5.4,5.94
24.3,30.4,20,65,0,6.3,3.9,5.4,6.32
22.9,30.3,19.8,78,0,6.6,5.2,5.4,6.32
22.9,30.3,19.8,78,0,6.6,5.2,5.4,6.57
22.8,27.7,20.4,81,0.51,5.5,8.1,14.8,6.24
22.8,27.7,20.4,81,0.51,5.5,8.1,14.8,6.45
23.3,30,18,48,0,6.9,3.9,7.6,7.69
23.3,30,18,48,0,6.9,3.9,7.6,5.98
22.2,29.6,16,60,0,6.9,3,5.4,6.12
22.2,29.6,16,60,0,6.9,3,5.4,6.04
23.4,29.2,17.5,58,0,6.3,5,7.6,5.88
23.4,29.2,17.5,58,0,6.3,5,7.6,6.01
22.4,30,16.2,44,0,6.9,1.3,3.5,4.98
22.4,30,16.2,44,0,6.9,1.3,3.5,5.33
23,30.5,14.8,44,0,6.9,0.9,3.5,5.24
23,30.5,14.8,44,0,6.9,0.9,3.5,5.27
23.3,31,16.5,68,0,6.9,5.4,7.6,5.67
23.3,31,16.5,68,0,6.9,5.4,7.6,6.12
22.93333333,30.05,16.5,53.66666667,0,6.8,3.25,5.866666667,6.07
22.93333333,30.05,16.5,53.66666667,0,6.8,3.25,5.866666667,5.34
22.4,28.2,18.6,68,0,5.2,3.2,5.4,7.25
22.4,28.2,18.6,68,0,5.2,3.2,5.4,8.29
22.4,28.2,18.6,68,0,5.2,3.2,5.4,10.22
22.4,28.2,18.6,68,0,5.2,3.2,5.4,8.15
22.4,28.2,18.6,68,0,5.2,3.2,5.4,5.76
22.4,28.2,18.6,68,0,5.2,3.2,5.4,6.13
22.4,28.2,18.6,68,0,5.2,3.2,5.4,6.36
22.4,28.2,18.6,68,0,5.2,3.2,5.4,7.13
22.4,28.2,18.6,68,0,5.2,3.2,5.4,7.64
22.4,28.2,18.6,68,0,5.2,3.2,5.4,7.01
22.6,27.6,19.2,70,0,4.8,3.1,5.4,5.88
22.6,27.6,19.2,70,0,4.8,3.1,5.4,5.79
22.2,28.8,18,66,0,5.6,3.3,5.4,5.73
22.2,28.8,18,66,0,5.6,3.3,5.4,5.47
20.8,29,16.3,64,0,5,5,9.4,4.93
20.8,29,16.3,64,0,5,5,9.4,5.28
21.8,29.5,18,62,0,6.3,4.3,9.4,5.05
21.8,29.5,18,62,0,6.3,4.3,9.4,5.74
21.8,28.3,15.6,56,0,6.9,4.6,7.6,5.35
21.8,28.3,15.6,56,0,6.9,4.6,7.6,5.07
21.7,28.8,18.2,67,0,6.9,3.3,7.6,5.2
21.7,28.8,18.2,67,0,6.9,3.3,7.6,5.32
22.3,29.3,18.3,70,0,6.8,3.1,5.4,5.06
22.3,29.3,18.3,70,0,6.8,3.1,5.4,5.42
22.5,28.2,17.7,72,0,6.8,4.8,7.6,4.97
22.5,28.2,17.7,72,0,6.8,4.8,7.6,4.79
23.1,29.4,17.6,62,0,5.8,5.2,11.1,5.27
23.1,29.4,17.6,62,0,5.8,5.2,11.1,5.16
22.3,29.9,18.7,70,0,6,3,9.4,4.12
22.3,29.9,18.7,70,0,6,3,9.4,4.91
22.8,28.9,17.7,59,0,5.3,3.1,5.4,4.8
22.8,28.9,17.7,59,0,5.3,3.1,5.4,5.45
21.8,28.9,17.7,59,0,6.3,7,9.4,5.35
21.8,28.9,17.7,59,0,6.3,7,9.4,5.01
21.6,28.5,16,67,0,6.3,3.1,11.1,4.58
21.6,28.5,16,67,0,6.3,3.1,11.1,4.6
22.2,27.7,17.7,63,0,6.9,2.8,7.6,4.54
22.2,27.7,17.7,63,0,6.9,2.8,7.6,5.81
22.7,28.4,18.1,65,0,6.3,3.9,5.4,5.3
22.7,28.4,18.1,65,0,6.3,3.9,5.4,5.21
23.4,29.1,18.4,62,0,6,5.7,9.4,6.19
23.4,29.1,18.4,62,0,6,5.7,9.4,4.52
23.8,30.2,17.7,56,0,5.5,6.1,9.4,4.04
23.8,30.2,17.7,56,0,5.5,6.1,9.4,3.99
24,31.4,19,63,0,6.3,5.4,7.6,4.75
24,31.4,19,63,0,6.3,5.4,7.6,4.88
20.9,25.8,16.6,51,0,6.6,3.9,11.1,4.08
20.9,25.8,16.6,51,0,6.6,3.9,11.1,4.69
20.3,27.6,14,42,0,7.1,4.4,9.4,4.15
20.3,27.6,14,42,0,7.1,4.4,9.4,4.52
19.9,28.1,12.4,45,0,6.9,4.8,7.6,4.52
19.9,28.1,12.4,45,0,6.9,4.8,7.6,4.39
20.2,27.6,13.1,41,0,6.8,4.8,7.6,5.06
20.2,27.6,13.1,41,0,6.8,4.8,7.6,5.45
20.8,28.6,14.7,55,0,6,4.3,5.4,5.53
20.8,28.6,14.7,55,0,6,4.3,5.4,5.19
21.3,29.3,15.2,44,0,6.3,4.6,7.6,6.12
21.3,29.3,15.2,44,0,6.3,4.6,7.6,6.29
21.3,29.6,13.2,40,0,6.3,3.5,3.5,4.45
21.3,29.6,13.2,40,0,6.3,3.5,3.5,4.87
21.5,28.8,14.3,47,0,6,3.9,7.6,4.93
21.5,28.8,14.3,47,0,6,3.9,7.6,4.57
20.7,30.3,14.5,53,0,6,3.9,5.4,4.87
20.7,30.3,14.5,53,0,6,3.9,5.4,5.09
21.2,29.3,12.3,34,0,6.9,4.8,9.4,4.2
21.2,29.3,12.3,34,0,6.9,4.8,9.4,4.12
21.8,29,14.3,39,0,6.3,3.9,5.4,6.25
21.8,29,14.3,39,0,6.3,3.9,5.4,7.02
21.3,30.3,13.7,39,0,6.3,5.2,11.1,5.51
21.3,30.3,13.7,39,0,6.3,5.2,11.1,5.12
21.3,28.6,14.8,44,0,6.9,4.1,5.4,6.11
21.3,28.6,14.8,44,0,6.9,4.1,5.4,8.64
23.3,30.2,17.2,54,0,6.3,4.6,9.4,9.55
23.3,30.2,17.2,54,0,6.3,4.6,9.4,6.55
23.3,30,18.8,63,0,6,4.6,9.4,6.12
23.3,30,18.8,63,0,6,4.6,9.4,5.15
23.2,30.2,19,65,0,5.5,1.5,5.4,5.01
23.2,30.2,19,65,0,5.5,1.5,5.4,5.61
21.7,29.4,16.4,54,0,6.3,5.9,9.4,5.13
21.7,29.4,16.4,54,0,6.3,5.9,9.4,5.7
21.4,28.2,15.7,55,0,6.3,4.8,7.6,5.44
21.4,28.2,15.7,55,0,6.3,4.8,7.6,6.86
22.4,27.8,16.3,57,0,6.3,5.2,7.6,5.8
22.4,27.8,16.3,57,0,6.3,5.2,7.6,6.92
22.9,29.6,16.6,59,0,6.9,4.8,9.4,7.66
22.9,29.6,16.6,59,0,6.9,4.8,9.4,7.29
24.4,31.1,18.3,55,0,6.9,3.3,5.4,6.91
24.4,31.1,18.3,55,0,6.9,3.3,5.4,6.72
26.4,31.8,20.4,51,0,6.3,3,5.4,5.4
26.4,31.8,20.4,51,0,6.3,3,5.4,4.89
23.7,32.6,20.2,73,57.91,6.3,3,9.4,4.68
23.7,32.6,20.2,73,57.91,6.3,3,9.4,4.73
23.1,29,17.3,52,0,6.8,4.3,5.4,5.37
23.1,29,17.3,52,0,6.8,4.3,5.4,4.96
24.6,30.4,17.2,51,0,7.7,5.7,11.1,6.16
24.6,30.4,17.2,51,0,7.7,5.7,11.1,5.22
25.2,31.6,19,56,0,6.3,4.8,7.6,4.83
25.2,31.6,19,56,0,6.3,4.8,7.6,4.86
26.8,34,22,56,0,6.3,4.8,7.6,5.66
26.8,34,22,56,0,6.3,4.8,7.6,5.07
25.4,32.8,20.5,53,0,6.9,5.7,7.6,4.99
25.4,32.8,20.5,53,0,6.9,5.7,7.6,5.76
25.1,32.1,18.2,42,0,6.3,7.2,11.1,5.41
25.1,32.1,18.2,42,0,6.3,7.2,11.1,7.4
26.6,34.6,17.2,25,0,6.3,5.4,11.1,8.4
26.6,34.6,17.2,25,0,6.3,5.4,11.1,7.56
26.2,35.5,20.8,46,0,5.5,4.6,7.6,5.95
26.2,35.5,20.8,46,0,5.5,4.6,7.6,5.09
26.3,34.5,21.3,51,0,6.9,5,9.4,4.1
26.3,34.5,21.3,51,0,6.9,5,9.4,4.55
26.3,33.8,21.3,57,0,5.3,5.4,11.1,5.28
26.3,33.8,21.3,57,0,5.3,5.4,11.1,4.9
25.9,33.5,21.7,60,0,6.9,5.9,11.1,4.83
25.9,33.5,21.7,60,0,6.9,5.9,11.1,4.42
26.1,32.1,20.5,57,0,6.3,3.9,11.1,4.37
26.1,32.1,20.5,57,0,6.3,3.9,11.1,5.35
28.4,36.4,20.1,25,0,6.9,3.3,5.4,4.45
28.4,36.4,20.1,25,0,6.9,3.3,5.4,4.97
28.3,37,21.8,33,0,6.9,3,5.4,5.76
28.3,37,21.8,33,0,6.9,3,5.4,4.5
27.4,35.9,22.5,53,0,6.9,4.1,5.4,3.88
27.4,35.9,22.5,53,0,6.9,4.1,5.4,4.72
26.6,34,19.7,32,0,6.6,4.4,9.4,4.34
26.6,34,19.7,32,0,6.6,4.4,9.4,4.43
27.2,33.8,19.7,29,0,6.9,4.6,7.6,3.67
27.2,33.8,19.7,29,0,6.9,4.6,7.6,4.21
27.3,34.3,20.2,27,0,6.9,6.1,11.1,4.03
27.3,34.3,20.2,27,0,6.9,6.1,11.1,4.63
27.7,34.2,21.2,45,0,6.9,4.6,11.1,4.16
27.7,34.2,21.2,45,0,6.9,4.6,11.1,4.4
27.7,35,23,46,0,6.9,4.1,5.4,4.23
